squad_total_market_value,squad_avg_market_value,squad_total_injuries,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,group_rank,group_matches_played,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goals_difference,group_points,group_notes,squad_avg_age,squad_median_age,squad_total_caps,squad_avg_caps,squad_injury_burden,squad_depth_DF,squad_depth_FW,squad_depth_GK,squad_depth_MF,squad_top_league_ratio,squad_avg_impact_score,Country_Algeria,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia and Herzegovina,Country_Brazil,Country_Cabo Verde,Country_Canada,Country_Colombia,Country_Congo DR,Country_Croatia,Country_Curaçao,Country_Czechia,Country_Côte d'Ivoire,Country_Ecuador,Country_Egypt,Country_England,Country_France,Country_Germany,Country_Ghana,Country_Haiti,Country_IR Iran,Country_Iraq,Country_Japan,Country_Jordan,Country_Korea Republic,Country_Mexico,Country_Morocco,Country_Netherlands,Country_New Zealand,Country_Norway,Country_Panama,Country_Paraguay,Country_Portugal,Country_Qatar,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Tunisia,Country_Türkiye,Country_USA,Country_Uruguay,Country_Uzbekistan,group_last_5_form_D D D D D,group_last_5_form_D D W D D,group_last_5_form_D D W W L,group_last_5_form_D W L D D,group_last_5_form_D W W D D,group_last_5_form_D W W W W,group_last_5_form_L D L D L,group_last_5_form_L D W D D,group_last_5_form_L D W L L,group_last_5_form_L L L D W,group_last_5_form_L L W L W,group_last_5_form_L L W W W,group_last_5_form_L W W W D,group_last_5_form_W W L W L,group_last_5_form_W W W W L
-0.28459979331936713,-0.30827629334810197,-0.23099806904017564,-0.5881176352917642,-0.05202513720444942,-0.5349944684499875,0.6872801515598995,0.43909896428636397,2.5,0.0,-0.3261640365267211,-0.42640143271122083,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,-1.0680607078225668,-1.0209097351301981,0.27983564731958516,0.15836822514643445,-0.004125163967933891,-0.015457963192005554,0.5569606047280569,0.21442250696755885,-0.040402803728637735,0.16306444749587487,1.5936404966941147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.2393539601728134,1.223218919893496,3.1696633216795838,-0.5881176352917642,-0.05202513720444942,-0.5349944684499875,2.1361410116050927,1.7822252079858298,2.5,0.0,-0.3261640365267211,-0.42640143271122083,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,1.0441198529532527,0.3818798398183549,1.8708829723985938,1.9784558969446477,1.871945308137373,0.3864490798001403,0.9707027682403278,0.21442250696755885,-0.8807811212843056,1.283500749049913,1.0670346138923834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.7921773388868749,-0.818365644553303,-0.41481760367367615,2.3244649394864965,2.1238251051263797,1.010545107072199,-1.1237959234965922,-1.2024997780129831,2.0,0.0,3.0659419433511785,-0.42640143271122083,-0.3944053188733077,1.7376201171422894,-1.9448149027145805,2.2673766464259906,2.704171740638413,,-0.5847391909942176,-0.43351649178733204,-1.6537288102417103,-2.0535438759972275,0.03455670143629924,0.7883561227922862,-1.0980080493210267,0.21442250696755885,0.7999755138270301,-0.583893086873484,-0.8005828290739992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.21594589381197368,-0.2392826521532792,0.6951695862286154,-0.5881176352917642,-0.05202513720444942,-0.5349944684499875,0.5665417465561334,0.43909896428636397,2.5,0.0,-0.3261640365267211,-0.42640143271122083,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,0.5529574096439827,0.8672958873191129,-1.6537288102417103,-2.0535438759972275,-0.1588526255848664,0.7883561227922862,0.14321844121578595,0.21442250696755885,-0.46059196250647166,0.9100219818652336,1.246436320370054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5039702935125909,0.4841961229054743,0.29218060645517197,-0.5881176352917642,-0.05202513720444942,-0.5349944684499875,2.1361410116050927,1.7822252079858298,2.5,0.0,-0.3261640365267211,-0.42640143271122083,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,-0.33912096638309003,-1.4741204421490928,0.3903250448945163,0.28476320235464353,0.8943490733758448,0.3864490798001403,0.14321844121578595,0.21442250696755885,-0.040402803728637735,1.283500749049913,1.4185143636180495,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.569255684952789,-0.6096929576984305,-0.44309753207883007,0.8681736520973661,0.03500887248878712,1.010545107072199,-0.5201038984777615,-1.0532635287130425,4.0,0.0,-0.3261640365267211,2.3452078799117144,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,-0.2096920251608781,-0.32322947563064436,-1.6537288102417103,0.152048476286024,-1.3949140519110432,-3.632621350121318,-2.7529767033701105,-3.9668163788998414,-2.561537756395641,-1.2063576988479494,0.026766288719358853,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.599447733478391,1.4890227048919074,2.4273152010442933,0.8681736520973661,0.03500887248878712,1.010545107072199,0.8080185565636656,0.7375714628862453,1.0,0.0,-0.3261640365267211,2.3452078799117144,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,1.1075749896117062,0.8473829538463775,1.020114611071624,0.8919272224992638,3.141413800039933,0.3864490798001403,0.14321844121578595,0.21442250696755885,0.3797863550491962,0.5918734024116179,0.4541048360941299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.599447733478391,1.4890227048919074,2.4273152010442933,0.8681736520973661,0.03500887248878712,1.010545107072199,0.8080185565636656,0.7375714628862453,3.0,0.0,-0.3261640365267211,2.3452078799117144,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,1.1075749896117062,0.8473829538463775,1.020114611071624,0.8919272224992638,3.141413800039933,0.3864490798001403,0.14321844121578595,0.21442250696755885,0.3797863550491962,0.5918734024116179,0.4541048360941299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.7103625139798427,-0.7252378640472478,-0.5703572099020228,-0.5881176352917642,-0.05202513720444942,-0.5349944684499875,-0.15788868346646323,-0.1578460329133986,2.5,0.0,-0.3261640365267211,-0.42640143271122083,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,-0.2096920251608781,-0.32322947563064436,-1.6537288102417103,0.152048476286024,-1.3949140519110432,-3.632621350121318,-2.7529767033701105,-3.9668163788998414,-2.561537756395641,-1.2063576988479494,0.026766288719358853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.4358825955935642,-0.4603077359019108,-0.5562172456994458,0.8681736520973661,0.03500887248878712,1.010545107072199,-2.3311799735342533,-2.097917273812627,2.0,0.0,-0.3261640365267211,2.3452078799117144,-0.3944053188733077,-0.06950480468569174,-0.1705977984837353,0.06357130784371937,-0.08032193289024991,,-0.9944285246965772,-0.8122834629004608,-0.7919115091572471,-1.0676630537731953,1.362047991445209,-0.015457963192005554,-1.0980080493210267,0.21442250696755885,1.640353831382698,-0.08592139729391157,-0.8322979249179608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
