Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Austria,all_competitions,Marko Arnautović,FW,37-056,6.2,8,16.0,11.0,68.8,3.38,2.32,0.44,0.64,1,2,Matches
Austria,all_competitions,Michael Gregoritsch,"FW,MF",32-057,6.2,5,14.0,8.0,57.1,3.01,1.72,0.29,0.5,0,0,Matches
Austria,all_competitions,Kevin Danso,DF,27-268,4.6,0,1.0,0.0,0.0,0.28,0.0,0.0,,0,0,Matches
Austria,all_competitions,Xaver Schlager,MF,28-259,4.5,0,2.0,0.0,0.0,0.68,0.0,0.0,,0,0,Matches
Austria,all_competitions,David Alaba,DF,33-355,4.1,0,2.0,0.0,0.0,0.61,0.0,0.0,,0,0,Matches
Austria,all_competitions,Patrick Pentz,GK,29-163,3.5,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Austria,all_competitions,Patrick Wimmer,"MF,DF",25-015,3.4,0,5.0,0.0,0.0,2.05,0.0,0.0,,0,0,Matches
Austria,all_competitions,Marco Friedl,DF,28-090,3.2,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Austria,all_competitions,Alexander Prass,DF,25-019,2.1,0,3.0,1.0,33.3,2.31,0.77,0.0,0.0,0,0,Matches
Austria,all_competitions,Florian Grillitsch,"DF,MF",30-311,1.6,0,1.0,0.0,0.0,1.06,0.0,0.0,,0,0,Matches
Austria,all_competitions,Paul Wanner,MF,20-173,1.5,0,,,,,,,,0,0,Matches
Austria,all_competitions,Mathias Honsak,DF,29-176,1.0,0,2.0,0.0,0.0,2.0,0.0,0.0,,0,0,Matches
Austria,all_competitions,Carney Chukwuemeka,MF,22-237,1.0,1,,,,,,,,0,0,Matches
Austria,all_competitions,Saša Kalajdžić,"FW,MF",28-342,0.8,0,,,,,,,,0,0,Matches
Austria,all_competitions,Maximilian Wöber,DF,28-130,0.8,0,1.0,0.0,0.0,1.32,0.0,0.0,,0,0,Matches
Austria,all_competitions,Michael Svoboda,DF,27-242,0.7,0,,,,,,,,0,0,Matches
Austria,all_competitions,Leopold Querfeld,DF,22-176,0.5,0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0,0,Matches
Austria,all_competitions,Florian Wiegele,GK,25-085,0.5,0,,,,,,,,0,0,Matches
Austria,all_competitions,Tobias Lawal,GK,26-007,0.5,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Austria,all_competitions,Thierno Ballo,"FW,MF",24-163,0.5,0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,0,0,Matches
Austria,all_competitions,Raul Florucz,FW,25-004,0.4,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Austria,all_competitions,Marco Grüll,"FW,MF",27-343,0.3,0,3.0,1.0,33.3,9.31,3.1,0.0,0.0,0,0,Matches
Austria,all_competitions,Alessandro Schöpf,MF,32-127,0.3,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Austria,all_competitions,Nikolaus Wurmbrand,MF,20-160,0.2,1,1.0,1.0,100.0,4.5,4.5,1.0,1.0,0,0,Matches
Austria,all_competitions,David Affengruber,DF,25-087,0.1,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Kevin De Bruyne,MF,34-351,3.2,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Nathan Ngoy,DF,23-004,2.9,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Youri Tielemans,MF,29-038,2.7,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Jeremy Doku,MF,24-018,2.7,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Amadou Onana,"MF,DF",24-302,2.5,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Charles De Ketelaere,FW,25-096,2.5,2,,,,,,,,1,1,Matches
Belgium,all_competitions,Maxim De Cuyper,"DF,MF",25-174,2.4,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Thomas Meunier,DF,34-275,2.2,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Nicolas Raskin,MF,25-111,2.1,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Thibaut Courtois,GK,34-034,2.0,0,,,,,,,,0,0,Matches
