Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Brazil,world_cup,Luiz Henrique,"FW,MF",25-163,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Brazil,world_cup,Danilo Santos,MF,25-046,0.1,0,2,1,50.0,16.36,8.18,0.0,0.0,0,0,Matches
Brazil,world_cup,Squad Total,,29.8,1.0,1,12,5,41.7,12.0,5.0,0.08,0.2,0,0,
Brazil,world_cup,Opponent Total,,25.8,1.0,1,14,3,21.4,14.0,3.0,0.07,0.33,0,0,
Canada,world_cup,Derek Cornelius,DF,28-201,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Canada,world_cup,Maxime Crépeau,GK,32-034,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Luc De Fougerolles,DF,20-245,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Alistair Johnston,DF,27-249,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Canada,world_cup,Ismaël Koné,MF,23-363,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Canada,world_cup,Richie Laryea,DF,31-158,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,Matches
Canada,world_cup,Stephen Eustáquio,MF,29-175,1.0,0,1,0,0.0,1.01,0.0,0.0,,0,0,Matches
Canada,world_cup,Tani Oluwaseyi,FW,26-030,0.8,0,2,1,50.0,2.4,1.2,0.0,0.0,0,0,Matches
Canada,world_cup,Tajon Buchanan,MF,27-126,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Jonathan David,FW,26-151,0.7,0,3,1,33.3,4.5,1.5,0.0,0.0,0,0,Matches
Canada,world_cup,Liam Millar,MF,26-260,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Ali Ahmed,MF,25-247,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Promise David,FW,24-346,0.3,0,1,0,0.0,3.0,0.0,0.0,,0,0,Matches
Canada,world_cup,Jacob Shaffelburg,MF,26-200,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Cyle Larin,"FW,MF",31-058,0.2,1,2,1,50.0,12.0,6.0,0.5,1.0,0,0,Matches
Canada,world_cup,Jonathan Osorio,MF,34-002,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Canada,world_cup,Squad Total,,27.3,1.0,1,13,4,30.8,13.0,4.0,0.08,0.25,0,0,
Canada,world_cup,Opponent Total,,26.2,1.0,1,8,3,37.5,8.0,3.0,0.13,0.33,0,0,
Czechia,world_cup,Štěpán Chaloupek,DF,23-098,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Vladimír Coufal,MF,33-296,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Robin Hranáč,DF,26-136,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
