Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Bosnia-Herzegovina,world_cup,Ivan Bašić,MF,24-045,,61.0,61.0,67.8,0.7,1,61.0,0,0,,0,1.0,1.0,0.0,1.0,1.48,4.58,Matches,1.0
Bosnia-Herzegovina,world_cup,Jovo Lukić,FW,27-198,,61.0,61.0,67.8,0.7,1,61.0,0,0,,0,1.0,1.0,0.0,1.0,1.48,4.58,Matches,1.0
Bosnia-Herzegovina,world_cup,Samed Baždar,FW,22-134,,29.0,29.0,32.2,0.3,0,,0,1,29.0,0,1.0,0.0,1.0,-1.0,-3.1,-4.58,Matches,1.0
Bosnia-Herzegovina,world_cup,Armin Gigovic,MF,24-069,,29.0,29.0,32.2,0.3,0,,0,1,29.0,0,1.0,0.0,1.0,-1.0,-3.1,-4.58,Matches,1.0
Bosnia-Herzegovina,world_cup,Kerim Alajbegović,MF,18-266,,17.0,17.0,18.9,0.2,0,,0,1,17.0,0,1.0,0.0,1.0,-1.0,-5.29,-6.53,Matches,1.0
Bosnia-Herzegovina,world_cup,Ivan Šunjić,MF,29-248,,17.0,17.0,18.9,0.2,0,,0,1,17.0,0,1.0,0.0,1.0,-1.0,-5.29,-6.53,Matches,1.0
Bosnia-Herzegovina,world_cup,Dženis Burnić,MF,28-023,,7.0,7.0,7.8,0.1,0,,0,1,7.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Bosnia-Herzegovina,world_cup,Edin Džeko,FW,40-089,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Amir Hadžiahmetović,MF,29-098,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Dennis Hadžikadunić,DF,27-340,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Mladen Jurkas,GK,18-250,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Ermin Mahmić,MF,21-092,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Arjan Malic,DF,20-290,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Nihad Mujakić,DF,28-060,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Stjepan Radeljić,DF,28-282,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Haris Tabaković,FW,31-359,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Martin Zlomislić,GK,27-302,,,,,,0,,0,0,,1,,,,,,,Matches,0.0
Bosnia-Herzegovina,world_cup,Squad Total,,26.2,,90.0,90.0,100.0,1.0,11,81.0,6,5,20.0,10,1.0,1.0,1.0,0.0,0.0,,,1.0
Bosnia-Herzegovina,world_cup,Opponent Total,,27.3,,90.0,90.0,100.0,1.0,11,81.0,6,5,21.0,10,1.0,1.0,1.0,0.0,0.0,,,1.0
Brazil,world_cup,Alisson,GK,33-255,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Vinicius Júnior,FW,25-337,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Gabriel Magalhães,DF,28-177,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Marquinhos,DF,32-031,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Raphinha,MF,29-182,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Douglas Santos,DF,32-084,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Brazil,world_cup,Bruno Guimarães,MF,28-210,1.0,79.0,79.0,87.8,0.9,1,79.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Igor Thiago,FW,24-353,1.0,61.0,61.0,67.8,0.7,1,61.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Lucas Paquetá,MF,28-291,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Casemiro,MF,34-111,1.0,45.0,45.0,50.0,0.5,1,45.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Roger Ibanez,DF,27-203,1.0,45.0,45.0,50.0,0.5,1,45.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Danilo,"DF,MF",34-334,1.0,45.0,45.0,50.0,0.5,0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Fabinho,"DF,MF",32-234,1.0,45.0,45.0,50.0,0.5,0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Matheus Cunha,"FW,MF",27-018,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Luiz Henrique,"FW,MF",25-163,1.0,29.0,29.0,32.2,0.3,0,,0,1,29.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Danilo Santos,MF,25-046,1.0,11.0,11.0,12.2,0.1,0,,0,1,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Brazil,world_cup,Gleison Bremer,DF,29-088,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Ederson,GK,32-301,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Éderson,MF,26-342,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Endrick,FW,19-328,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Gabriel Martinelli,"FW,MF",24-361,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
