Country,Category,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
United States,world_cup,4,py Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Uruguay,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Uruguay,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Uruguay,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Uruguay,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Uruguay,world_cup,5,at Austria,0,0,0,0,,,,0,,
Uruguay,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Uruguay,world_cup,7,de Germany,0,0,0,0,,,,0,,
Uruguay,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Uruguay,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Uruguay,world_cup,10,no Norway,0,0,0,0,,,,0,,
Uruguay,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Uruguay,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Uruguay,world_cup,1,sa Saudi Arabia,0,0,0,0,0.0,0.0,0.0,0,L L L W D,
Uruguay,world_cup,2,es Spain,0,0,0,0,0.0,0.0,0.0,0,D W D D W,
Uruguay,world_cup,3,uy Uruguay,0,0,0,0,0.0,0.0,0.0,0,W D L D D,
Uruguay,world_cup,4,cv Cape Verde,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Uzbekistan,world_cup,1,co Colombia,0,0,0,0,0.0,0.0,0.0,0,W L L W W,
Uzbekistan,world_cup,2,pt Portugal,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Uzbekistan,world_cup,3,cd Congo DR,0,0,0,0,0.0,0.0,0.0,0,L W W D L,
Uzbekistan,world_cup,4,uz Uzbekistan,0,0,0,0,0.0,0.0,0.0,0,W W L L L,
