Player,MarketValue_EUR
Jovane Cabral,€1.00m
Logan Costa,€15.00m
Nuno da Costa,€400k
Diney,€900k
C.J. dos Santos,Ulisses Santos
Deroy Duarte,€1.80m
Laros Duarte,€1.00m
Dailon Livramento,€800k
Sidny Lopes Cabral,€4.00m
Ryan Mendes,€200k
Jamiro Monteiro,€650k
Steven Moreira,€1.50m
João Paulo Fernandes,€900k
Pico,€35.00m
Kevin Pina,€5.00m
Wagner Pina,€11.00m
Kelvin Pires,€400k
Garry Rodrigues,€300k
Márcio Rosa,€350k
Willy Semedo,€1.00m
Stopira,€50k
Hélio Varela,€2.50m
Vozinha,€50k
Yannick,€12.00m
Jhon Arias,€15.00m
Santiago Arias,€1.20m
Juan Camilo Portilla,€5.00m
Jaminton Campaz,€5.50m
Jorge Carrascal,€13.00m
Kevin Castaño,€5.00m
Jhon Córdoba,€10.00m
Cucho,€18.00m
Álvaro David Montero,€2.50m
Luis Díaz,€70.00m
Willer Ditta,€5.50m
Andrés Gómez,€11.00m
Jefferson Lerma,€6.00m
Jhon Lucumí,€22.00m
Deiver Machado,€1.80m
Yerry Mina,€2.50m
Johan Mojica,€1.50m
Daniel Muñoz,€22.00m
David Ospina,€100k
Gustavo Puerta,€10.00m
Juan Quintero,€1.80m
Richard Ríos,€25.00m
James Rodríguez,€1.50m
Davinson Sánchez,€16.00m
Luis Suárez,€1.50m
Camilo Vargas,€450k
Cédric Bakambu,€1.20m
Simon Banza,€10.00m
Dylan Batubinsika,€600k
Theo Bongonda,€3.00m
Rocky Bushiri,€1.00m
Brian Cipenga,€2.00m
Meschak Elia,€1.50m
Matthieu Epolo,€8.00m
Timothy Fayulu,€800k
Gaël Kakuta,€250k
Gédéon Kalulu,€1.00m
Steve Kapuadi,€2.50m
Edo Kayembe,€4.00m
Joris Kayembe,€2.00m
Arthur Masuaku,€2.00m
Fiston Mayele,€1.80m
Chancel Mbemba,€2.00m
Nathanaël Mbuku,€2.00m
Samuel Moutoussamy,€1.20m
Lionel Mpasi,€400k
Ngal'Ayel Mukau,€15.00m
Charles Pickel,€2.50m
Noah Sadiki,€35.00m
Aaron Tshibola,€150k
Axel Tuanzebe,€5.00m
Aaron Wan-Bissaka,€15.00m
Yoane Wissa,€25.00m
Martin Baturina,€30.00m
Ante Budimir,€2.80m
Duje Ćaleta-Car,€2.80m
Martin Erlić,€4.00m
Toni Fruk,€9.00m
Joško Gvardiol,€70.00m
Kristijan Jakić,€6.00m
Dominik Kotarski,€5.00m
Mateo Kovačić,€10.00m
Andrej Kramarić,€2.50m
Dominik Livaković,€4.00m
Igor Matanović,€22.00m
Luka Modrić,€3.50m
Nikola Moro,€7.00m
Petar Musa,€12.00m
Ivor Pandur,€4.50m
Marco Pašalić,€6.50m
Mario Pašalić,€6.00m
Ivan Perišić,€1.20m
Marin Pongračić,€6.50m
Josip Stanišić,€40.00m
Luka Sučić,€10.00m
Petar Sučić,€40.00m
Josip Šutalo,€12.00m
Nikola Vlašić,€10.00m
Luka Vušković,€60.00m
Jeremy Antonisse,€800k
Juninho Bacuna,€1.70m
Leandro Bacuna,€250k
Riechedly Bazoer,€1.50m
Tyrick Bodak,€25k
Joshua Brenet,€1.00m
Tahith Chong,€3.50m
Livano Comenencia,€500k
Trevor Doornbusch,€50k
Roshon van Eijma,€375k
Kevin Felida,€400k
Sherel Floranus,€800k
Deveron Fonville,€1.50m
Juriën Gaari,€350k
Kenji Gorré,€600k
Sontje Hansen,€3.50m
Gervane Kastaneer,€225k
Brandley Kuwas,€250k
Jürgen Locadia,€200k
Jearl Margaritha,€1.00m
Ar'jany Martha,€700k
Tyrese Noslin,€750k
Armando Obispo,€4.00m
Godfried Roemeratoe,€350k
Eloy Room,€150k
Shurandy Sambo,€1.30m
Lukáš Červ,€6.00m
Štěpán Chaloupek,€10.00m
Tomáš Chorý,€2.70m
Mojmír Chytil,€4.00m
Vladimír Coufal,€2.50m
Vladimír Darida,€375k
David Doudera,€3.50m
Adam Hložek,€10.00m
Tomáš Holeš,€1.00m
Lukáš Horníček,€18.00m
Robin Hranáč,€10.00m
David Jurásek,€5.00m
Matej Kovar,€8.00m
Ladislav Krejčí,€22.00m
Jan Kuchta,€2.70m
Lukáš Provod,€8.00m
Michal Sadílek,€8.00m
Patrik Schick,€18.00m
Hugo Sochůrek,€3.50m
Alexandr Sojka,€2.30m
Tomáš Souček,€10.00m
Jindřich Staněk,€2.00m
Pavel Šulc,€20.00m
Denis Višinský,€3.00m
Jaroslav Zelený,€600k
David Zima,€7.00m
Simon Adingra,€22.00m
Emmanuel Agbadou,€16.00m
Clément Akpa,€9.00m
Ange-Yoan Bonny,€35.00m
Oumar Diakité,€5.00m
Amad Diallo,€45.00m
Ousmane Diomande,€42.00m
Yan Diomandé,€90.00m
Guéla Doué,€20.00m
Seko Fofana,€8.00m
Yahia Fofana,€5.00m
Evann Guessand,€25.00m
Parfait Guiagon,€5.00m
Christ Inao Oulaï,€23.00m
Franck Kessié,€12.00m
Ghislain Konan,€3.00m
Mohamed Koné,€2.00m
Odilon Kossounou,€15.00m
Alban Lafont,€3.00m
Obite N'Dicka,Unknown
Christopher Opéri,€4.00m
Nicolas Pépé,€6.00m
Ibrahim Sangaré,€20.00m
Jean Seri,Malte Spieß
Wilfried Singo,€23.00m
Bazoumana Touré,€40.00m
Elye Wahi,€18.00m
Jordy Alcivar,€2.00m
Nilson Angulo,€17.00m
Jeremy Arévalo,€7.00m
Jordy Caicedo,€2.00m
Moisés Caicedo,€100.00m
Denil Castillo,€7.00m
Pervis Estupiñán,€12.00m
Alan Franco,€4.00m
Hernán Galíndez,€300k
Piero Hincapié,€50.00m
Yaimar Medina,€4.00m
Alan Minda,€3.00m
Joel Ordóñez,€33.00m
Willian Pacho,€80.00m
Kendry Páez,€8.00m
Gonzalo Plata,€9.00m
Jackson Porozo,€2.50m
Ángelo Preciado,€3.50m
Moisés Ramírez,€800k
Kevin Rodríguez,€6.00m
Félix Torres Caicedo,Fabio Armando Marin Pilonieta
Anthony Valencia,€1.80m
Enner Valencia,€1.00m
Gonzalo Valle,€1.80m
Pedro Vite,€6.00m
John Yeboah,€5.50m
Hamza Abdelkarim,€1.50m
Hossam Abdelmaguid,€2.00m
Mohamed Abdelmonem,€2.50m
Ibrahim Adel,€2.50m
Mohamed Alaa,€1.20m
Tarek Alaa,-
Emam Ashour,€4.00m
Marwan Attia,Wellington Fabiano Santacroce
Nabil Dunga,€1.00m
Hamdy Fathy,€1.80m
Ahmed Fatouh,€1.00m
Karim Hafez,€700k
Mohamed Hany,€1.50m
Haissem Hassan,€3.50m
Yasser Ibrahim,-
El Mahdy Soliman,Sayed Moustafa Kamel
Omar Marmoush,€50.00m
Mohanad Mostafa,€3.00m
Ramy Rabia,€600k
Mahmoud Saber,€1.50m
Mohamed Salah,€22.00m
Mohamed El-Shenawy,Unknown
Mostafa Shobeir,Unknown
Trézéguet,-
Mostafa Ziko,€1.80m
Zizo,€3.50m
Elliot Anderson,€75.00m
Jude Bellingham,€130.00m
Dan Burn,€4.00m
Eberechi Eze,€65.00m
Anthony Gordon,€65.00m
Marc Guéhi,€70.00m
Dean Henderson,€28.00m
Jordan Henderson,€1.20m
Reece James,€60.00m
Harry Kane,€60.00m
Ezri Konsa,€40.00m
Tino Livramento,€45.00m
Noni Madueke,€50.00m
Kobbie Mainoo,€70.00m
Nico O’Reilly,Unknown
Jordan Pickford,€13.00m
Jarell Quansah,€45.00m
Marcus Rashford,€40.00m
Declan Rice,€120.00m
Morgan Rogers,€90.00m
Bukayo Saka,€110.00m
Djed Spence,€30.00m
John Stones,€12.00m
Ivan Toney,€20.00m
James Trafford,€25.00m
Ollie Watkins,€25.00m
Maghnes Akliouche,€50.00m
Bradley Barcola,€70.00m
Rayan Cherki,€90.00m
Ousmane Dembélé,€100.00m
Lucas Digne,€6.00m
Désiré Doué,€120.00m
Malo Gusto,€35.00m
Lucas Hernández,€18.00m
Theo Hernández,€20.00m
N'Golo Kanté,€4.00m
Ibrahima Konaté,€45.00m
Manu Koné,€50.00m
Jules Koundé,€60.00m
Maxence Lacroix,€50.00m
Mike Maignan,€20.00m
Jean-Philippe Mateta,€30.00m
Kylian Mbappé,€180.00m
Michael Olise,€150.00m
Adrien Rabiot,€18.00m
Robin Risser,€30.00m
William Saliba,€100.00m
Brice Samba,€7.00m
Aurélien Tchouaméni,€70.00m
Marcus Thuram,€50.00m
Dayot Upamecano,€70.00m
Warren Zaïre-Emery,€80.00m
Nadiem Amiri,€17.00m
Waldemar Anton,€18.00m
Oliver Baumann,€2.50m
Maximilian Beier,€40.00m
Nathaniel Brown,€40.00m
Leon Goretzka,€12.00m
Pascal Groß,€2.50m
Kai Havertz,€55.00m
Lennart Karl,€60.00m
Joshua Kimmich,€35.00m
Jamie Leweling,€40.00m
Jamal Musiala,€100.00m
Manuel Neuer,€4.00m
Felix Nmecha,€50.00m
Alexander Nübel,€12.00m
Assan Ouédraogo,€28.00m
Aleksandar Pavlovic,€90.00m
David Raum,€25.00m
Antonio Rüdiger,€6.00m
Leroy Sané,€20.00m
