Year,Stage,Country1,Country2,Score1,Score2,Venue,City
2018,group stage,Japan,Poland,0,1,Volgograd Arena,Volgograd
2018,group stage,Senegal,Colombia,0,1,Samara Arena,Samara
2018,group stage,England,Belgium,0,1,Kaliningrad Stadium,Kaliningrad
2018,group stage,Panama,Tunisia,1,2,Mordovia Arena,Saransk
2018,round of 16,France,Argentina,4,3,Kazan Arena,Kazan
2018,round of 16,Uruguay,Portugal,2,1,Fisht Olympic Stadium,Sochi
2018,round of 16,Spain,Russia,1,1,Luzhniki Stadium,Moscow
2018,round of 16,Croatia,Denmark,1,1,Nizhny Novgorod Stadium,Nizhny Novgorod
2018,round of 16,Brazil,Mexico,2,0,Samara Arena,Samara
2018,round of 16,Belgium,Japan,3,2,Rostov Arena,Rostov-on-Don
2018,round of 16,Sweden,Switzerland,1,0,Krestovsky Stadium,Saint Petersburg
2018,round of 16,Colombia,England,1,1,Otkritie Arena,Moscow
2018,quarter-finals,Uruguay,France,0,2,Nizhny Novgorod Stadium,Nizhny Novgorod
2018,quarter-finals,Brazil,Belgium,1,2,Kazan Arena,Kazan
2018,quarter-finals,Sweden,England,0,2,Samara Arena,Samara
2018,quarter-finals,Russia,Croatia,2,2,Fisht Olympic Stadium,Sochi
2018,semi-finals,France,Belgium,1,0,Krestovsky Stadium,Saint Petersburg
