Year,Stage,Country1,Country2,Score1,Score2,Venue,City
2007,group stage,United States,North Korea,2,2,Chengdu Sports Center,Chengdu
2007,group stage,Japan,England,2,2,Hongkou Football Stadium,Shanghai
2007,group stage,Nigeria,Sweden,1,1,Chengdu Sports Center,Chengdu
2007,group stage,Ghana,Australia,1,4,Yellow Dragon Sports Center,Hangzhou
2007,group stage,New Zealand,Brazil,0,5,Wuhan Sports Center,Wuhan
2007,group stage,Norway,Canada,2,1,Yellow Dragon Sports Center,Hangzhou
2007,group stage,China,Denmark,3,2,Wuhan Sports Center,Wuhan
2007,group stage,Argentina,Japan,0,1,Hongkou Football Stadium,Shanghai
2007,group stage,Sweden,United States,0,2,Chengdu Sports Center,Chengdu
2007,group stage,England,Germany,0,0,Hongkou Football Stadium,Shanghai
2007,group stage,North Korea,Nigeria,2,0,Chengdu Sports Center,Chengdu
2007,group stage,Canada,Ghana,4,0,Yellow Dragon Sports Center,Hangzhou
2007,group stage,Denmark,New Zealand,2,0,Wuhan Sports Center,Wuhan
2007,group stage,Australia,Norway,1,1,Yellow Dragon Sports Center,Hangzhou
2007,group stage,Brazil,China,4,0,Wuhan Sports Center,Wuhan
2007,group stage,England,Argentina,6,1,Chengdu Sports Center,Chengdu
2007,group stage,Germany,Japan,2,0,Yellow Dragon Sports Center,Hangzhou
2007,group stage,Nigeria,United States,0,1,Hongkou Football Stadium,Shanghai
2007,group stage,North Korea,Sweden,1,2,Tianjin Olympic Center,Tianjin
2007,group stage,Australia,Canada,2,2,Yellow Dragon Sports Center,Hangzhou
2007,group stage,Norway,Ghana,7,2,Yellow Dragon Sports Center,Hangzhou
2007,group stage,Brazil,Denmark,1,0,Yellow Dragon Sports Center,Hangzhou
2007,group stage,China,New Zealand,2,0,Tianjin Olympic Center,Tianjin
2007,quarter-final,Germany,North Korea,3,0,Wuhan Sports Center,Wuhan
2007,quarter-final,United States,England,3,0,Tianjin Olympic Center,Tianjin
2007,quarter-final,Norway,China,1,0,Wuhan Sports Center,Wuhan
2007,quarter-final,Brazil,Australia,3,2,Tianjin Olympic Center,Tianjin
2007,semi-final,Germany,Norway,3,0,Tianjin Olympic Center,Tianjin
2007,semi-final,United States,Brazil,0,4,Yellow Dragon Sports Center,Hangzhou
2007,third-place match,Norway,United States,1,4,Hongkou Football Stadium,Shanghai
2007,final,Germany,Brazil,2,0,Hongkou Football Stadium,Shanghai
2010,group stage,South Africa,Mexico,1,1,Soccer City,Johannesburg
2010,group stage,Uruguay,France,0,0,Cape Town Stadium,Cape Town
2010,group stage,South Korea,Greece,2,0,Nelson Mandela Bay Stadium,Port Elizabeth
2010,group stage,Argentina,Nigeria,1,0,Ellis Park Stadium,Johannesburg
2010,group stage,England,United States,1,1,Royal Bafokeng Stadium,Rustenburg
2010,group stage,Algeria,Slovenia,0,1,Peter Mokaba Stadium,Polokwane
2010,group stage,Serbia,Ghana,0,1,Loftus Versfeld Stadium,Pretoria
2010,group stage,Germany,Australia,4,0,Moses Mabhida Stadium,Durban
2010,group stage,Netherlands,Denmark,2,0,Soccer City,Johannesburg
2010,group stage,Japan,Cameroon,1,0,Free State Stadium,Bloemfontein
2010,group stage,Italy,Paraguay,1,1,Cape Town Stadium,Cape Town
2010,group stage,New Zealand,Slovakia,1,1,Royal Bafokeng Stadium,Rustenburg
2010,group stage,Ivory Coast,Portugal,0,0,Nelson Mandela Bay Stadium,Port Elizabeth
2010,group stage,Brazil,North Korea,2,1,Ellis Park Stadium,Johannesburg
2010,group stage,Honduras,Chile,0,1,Mbombela Stadium,Nelspruit
2010,group stage,Spain,Switzerland,0,1,Moses Mabhida Stadium,Durban
2010,group stage,South Africa,Uruguay,0,3,Loftus Versfeld Stadium,Pretoria
2010,group stage,Argentina,South Korea,4,1,Soccer City,Johannesburg
2010,group stage,Greece,Nigeria,2,1,Free State Stadium,Bloemfontein
2010,group stage,France,Mexico,0,2,Peter Mokaba Stadium,Polokwane
2010,group stage,Germany,Serbia,0,1,Nelson Mandela Bay Stadium,Port Elizabeth
2010,group stage,Slovenia,United States,2,2,Ellis Park Stadium,Johannesburg
2010,group stage,England,Algeria,0,0,Cape Town Stadium,Cape Town
2010,group stage,Netherlands,Japan,1,0,Moses Mabhida Stadium,Durban
2010,group stage,Ghana,Australia,1,1,Royal Bafokeng Stadium,Rustenburg
2010,group stage,Cameroon,Denmark,1,2,Loftus Versfeld Stadium,Pretoria
2010,group stage,Slovakia,Paraguay,0,2,Free State Stadium,Bloemfontein
2010,group stage,Italy,New Zealand,1,1,Mbombela Stadium,Nelspruit
2010,group stage,Brazil,Ivory Coast,3,1,Soccer City,Johannesburg
2010,group stage,Portugal,North Korea,7,0,Cape Town Stadium,Cape Town
2010,group stage,Chile,Switzerland,1,0,Nelson Mandela Bay Stadium,Port Elizabeth
2010,group stage,Spain,Honduras,2,0,Ellis Park Stadium,Johannesburg
2010,group stage,France,South Africa,1,2,Free State Stadium,Bloemfontein
2010,group stage,Mexico,Uruguay,0,1,Royal Bafokeng Stadium,Rustenburg
2010,group stage,Greece,Argentina,0,2,Peter Mokaba Stadium,Polokwane
2010,group stage,Nigeria,South Korea,2,2,Moses Mabhida Stadium,Durban
2010,group stage,Slovenia,England,0,1,Nelson Mandela Bay Stadium,Port Elizabeth
2010,group stage,United States,Algeria,1,0,Loftus Versfeld Stadium,Pretoria
2010,group stage,Australia,Serbia,2,1,Mbombela Stadium,Nelspruit
2010,group stage,Ghana,Germany,0,1,Soccer City,Johannesburg
2010,group stage,Paraguay,New Zealand,0,0,Peter Mokaba Stadium,Polokwane
2010,group stage,Slovakia,Italy,3,2,Ellis Park Stadium,Johannesburg
2010,group stage,Cameroon,Netherlands,1,2,Cape Town Stadium,Cape Town
2010,group stage,Denmark,Japan,1,3,Royal Bafokeng Stadium,Rustenburg
2010,group stage,North Korea,Ivory Coast,0,3,Mbombela Stadium,Nelspruit
2010,group stage,Portugal,Brazil,0,0,Moses Mabhida Stadium,Durban
2010,group stage,Chile,Spain,1,2,Loftus Versfeld Stadium,Pretoria
2010,group stage,Switzerland,Honduras,0,0,Free State Stadium,Bloemfontein
2010,round of 16,Uruguay,South Korea,2,1,Nelson Mandela Bay Stadium,Port Elizabeth
2010,round of 16,United States,Ghana,1,2,Royal Bafokeng Stadium,Rustenburg
2010,round of 16,Germany,England,4,1,Free State Stadium,Bloemfontein
2010,round of 16,Argentina,Mexico,3,1,Soccer City,Johannesburg
2010,round of 16,Netherlands,Slovakia,2,1,Moses Mabhida Stadium,Durban
2010,round of 16,Brazil,Chile,3,0,Ellis Park Stadium,Johannesburg
2010,round of 16,Paraguay,Japan,0,0,Loftus Versfeld Stadium,Pretoria
2010,round of 16,Spain,Portugal,1,0,Cape Town Stadium,Cape Town
2010,quarter-finals,Netherlands,Brazil,2,1,Nelson Mandela Bay Stadium,Port Elizabeth
2010,quarter-finals,Uruguay,Ghana,1,1,Soccer City,Johannesburg
2010,quarter-finals,Argentina,Germany,0,4,Cape Town Stadium,Cape Town
2010,quarter-finals,Paraguay,Spain,0,1,Ellis Park Stadium,Johannesburg
2010,semi-finals,Uruguay,Netherlands,2,3,Cape Town Stadium,Cape Town
2010,semi-finals,Germany,Spain,0,1,Moses Mabhida Stadium,Durban
2010,third-place match,Uruguay,Germany,2,3,Nelson Mandela Bay Stadium,Port Elizabeth
2010,final,Netherlands,Spain,0,1,Soccer City,Johannesburg
2011,group stage,Nigeria,France,0,1,Rhein-Neckar-Arena,Sinsheim
2011,group stage,Germany,Canada,2,1,Olympiastadion,Berlin
2011,group stage,Japan,New Zealand,2,1,Ruhrstadion,Bochum
2011,group stage,Mexico,England,1,1,Volkswagen Arena,Wolfsburg
2011,group stage,Colombia,Sweden,0,1,BayArena,Leverkusen
2011,group stage,United States,North Korea,2,0,Rudolf-Harbig-Stadion,Dresden
2011,group stage,Norway,Equatorial Guinea,1,0,Impuls Arena,Augsburg
2011,group stage,Brazil,Australia,1,0,Borussia-Park,Mönchengladbach
2011,group stage,Canada,France,0,4,Ruhrstadion,Bochum
2011,group stage,Germany,Nigeria,1,0,Waldstadion,Frankfurt
2011,group stage,Japan,Mexico,4,0,BayArena,Leverkusen
2011,group stage,New Zealand,England,1,2,Rudolf-Harbig-Stadion,Dresden
2011,group stage,North Korea,Sweden,0,1,Impuls Arena,Augsburg
2011,group stage,United States,Colombia,3,0,Rhein-Neckar-Arena,Sinsheim
2011,group stage,Australia,Equatorial Guinea,3,2,Ruhrstadion,Bochum
2011,group stage,Brazil,Norway,3,0,Volkswagen Arena,Wolfsburg
2011,group stage,England,Japan,2,0,Impuls Arena,Augsburg
2011,group stage,New Zealand,Mexico,2,2,Rhein-Neckar-Arena,Sinsheim
2011,group stage,Canada,Nigeria,0,1,Rudolf-Harbig-Stadion,Dresden
2011,group stage,France,Germany,2,4,Borussia-Park,Mönchengladbach
2011,group stage,Australia,Norway,2,1,BayArena,Leverkusen
2011,group stage,Equatorial Guinea,Brazil,0,3,Waldstadion,Frankfurt
2011,group stage,North Korea,Colombia,0,0,Ruhrstadion,Bochum
2011,group stage,Sweden,United States,2,1,Volkswagen Arena,Wolfsburg
2011,quarter-final,England,France,1,1,BayArena,Leverkusen
2011,quarter-final,Germany,Japan,0,1,Volkswagen Arena,Wolfsburg
2011,quarter-final,Sweden,Australia,3,1,Impuls Arena,Augsburg
2011,quarter-final,Brazil,United States,2,2,Rudolf-Harbig-Stadion,Dresden
2011,semi-final,France,United States,1,3,Borussia-Park,Mönchengladbach
2011,semi-final,Japan,Sweden,3,1,Waldstadion,Frankfurt
2011,third-place match,Sweden,France,2,1,Rhein-Neckar-Arena,Sinsheim
2011,final,Japan,United States,2,2,Waldstadion,Frankfurt
2014,group stage,Brazil,Croatia,3,1,Arena Corinthians,São Paulo
2014,group stage,Mexico,Cameroon,1,0,Arena das Dunas,Natal
2014,group stage,Spain,Netherlands,1,5,Arena Fonte Nova,Salvador
2014,group stage,Chile,Australia,3,1,Arena Pantanal,Cuiabá
2014,group stage,Colombia,Greece,3,0,Estádio Mineirão,Belo Horizonte
2014,group stage,Uruguay,Costa Rica,1,3,Estádio Castelão,Fortaleza
2014,group stage,England,Italy,1,2,Arena da Amazônia,Manaus
2014,group stage,Ivory Coast,Japan,2,1,Arena Pernambuco,Recife
2014,group stage,Switzerland,Ecuador,2,1,Estádio Nacional,Brasília
2014,group stage,France,Honduras,3,0,Estádio Beira-Rio,Porto Alegre
2014,group stage,Argentina,Bosnia and Herzegovina,2,1,Estádio do Maracanã,Rio de Janeiro
2014,group stage,Germany,Portugal,4,0,Arena Fonte Nova,Salvador
2014,group stage,Iran,Nigeria,0,0,Arena da Baixada,Curitiba
2014,group stage,Ghana,United States,1,2,Arena das Dunas,Natal
2014,group stage,Belgium,Algeria,2,1,Estádio Mineirão,Belo Horizonte
2014,group stage,Brazil,Mexico,0,0,Estádio Castelão,Fortaleza
2014,group stage,Russia,South Korea,1,1,Arena Pantanal,Cuiabá
2014,group stage,Australia,Netherlands,2,3,Estádio Beira-Rio,Porto Alegre
2014,group stage,Spain,Chile,0,2,Estádio do Maracanã,Rio de Janeiro
2014,group stage,Cameroon,Croatia,0,4,Arena da Amazônia,Manaus
2014,group stage,Colombia,Ivory Coast,2,1,Estádio Nacional,Brasília
2014,group stage,Uruguay,England,2,1,Arena Corinthians,São Paulo
2014,group stage,Japan,Greece,0,0,Arena das Dunas,Natal
2014,group stage,Italy,Costa Rica,0,1,Arena Pernambuco,Recife
2014,group stage,Switzerland,France,2,5,Arena Fonte Nova,Salvador
2014,group stage,Honduras,Ecuador,1,2,Arena da Baixada,Curitiba
2014,group stage,Argentina,Iran,1,0,Estádio Mineirão,Belo Horizonte
2014,group stage,Germany,Ghana,2,2,Estádio Castelão,Fortaleza
2014,group stage,Nigeria,Bosnia and Herzegovina,1,0,Arena Pantanal,Cuiabá
2014,group stage,Belgium,Russia,1,0,Estádio do Maracanã,Rio de Janeiro
2014,group stage,South Korea,Algeria,2,4,Estádio Beira-Rio,Porto Alegre
2014,group stage,United States,Portugal,2,2,Arena da Amazônia,Manaus
2014,group stage,Australia,Spain,0,3,Arena da Baixada,Curitiba
2014,group stage,Netherlands,Chile,2,0,Arena Corinthians,São Paulo
2014,group stage,Cameroon,Brazil,1,4,Estádio Nacional,Brasília
2014,group stage,Croatia,Mexico,1,3,Arena Pernambuco,Recife
2014,group stage,Costa Rica,England,0,0,Estádio Mineirão,Belo Horizonte
2014,group stage,Italy,Uruguay,0,1,Arena das Dunas,Natal
2014,group stage,Japan,Colombia,1,4,Arena Pantanal,Cuiabá
2014,group stage,Greece,Ivory Coast,2,1,Estádio Castelão,Fortaleza
2014,group stage,Bosnia and Herzegovina,Iran,3,1,Arena Fonte Nova,Salvador
2014,group stage,Nigeria,Argentina,2,3,Estádio Beira-Rio,Porto Alegre
2014,group stage,Honduras,Switzerland,0,3,Arena da Amazônia,Manaus
2014,group stage,Ecuador,France,0,0,Estádio do Maracanã,Rio de Janeiro
2014,group stage,Portugal,Ghana,2,1,Estádio Nacional,Brasília
2014,group stage,United States,Germany,0,1,Arena Pernambuco,Recife
2014,group stage,Algeria,Russia,1,1,Arena da Baixada,Curitiba
2014,group stage,South Korea,Belgium,0,1,Arena Corinthians,São Paulo
2014,round of 16,Brazil,Chile,1,1,Estádio Mineirão,Belo Horizonte
2014,round of 16,Colombia,Uruguay,2,0,Estádio do Maracanã,Rio de Janeiro
2014,round of 16,Netherlands,Mexico,2,1,Estádio Castelão,Fortaleza
2014,round of 16,Costa Rica,Greece,1,1,Arena Pernambuco,Recife
2014,round of 16,France,Nigeria,2,0,Estádio Nacional,Brasília
2014,round of 16,Germany,Algeria,2,1,Estádio Beira-Rio,Porto Alegre
2014,round of 16,Argentina,Switzerland,1,0,Arena Corinthians,São Paulo
2014,round of 16,Belgium,United States,2,1,Arena Fonte Nova,Salvador
2014,quarter-finals,France,Germany,0,1,Estádio do Maracanã,Rio de Janeiro
2014,quarter-finals,Brazil,Colombia,2,1,Estádio Castelão,Fortaleza
2014,quarter-finals,Argentina,Belgium,1,0,Estádio Nacional,Brasília
2014,quarter-finals,Netherlands,Costa Rica,0,0,Arena Fonte Nova,Salvador
2014,semi-finals,Brazil,Germany,1,7,Estádio Mineirão,Belo Horizonte
2014,semi-finals,Netherlands,Argentina,0,0,Arena Corinthians,São Paulo
