Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
IR Iran,all_competitions,Alireza Beiranvand,GK,33-266,14.0,14.0,"1,260",14.0,11.0,0.79,25.0,18.0,64.0,9.0,4.0,1.0,7,50.0,1,1,0,0,0.0,Matches
IR Iran,all_competitions,Hossein Hosseini,GK,33-349,2.0,2.0,180,2.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,2,100.0,0,0,0,0,,Matches
IR Iran,all_competitions,Payam Niazmand,GK,31-069,1.0,1.0,90,1.0,2.0,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,,Matches
Japan,all_competitions,Zion Suzuki,GK,23-297,3.0,3.0,261,2.9,0.0,0.0,,,,3.0,0.0,0.0,3,100.0,0,0,0,0,,Matches
Japan,all_competitions,Tomoki Hayakawa,GK,27-103,1.0,0.0,9,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Japan,all_competitions,Squad Total,,27.6,3.0,3.0,270,3.0,0.0,0.0,,,,3.0,0.0,0.0,3,100.0,0,0,0,0,,
Japan,all_competitions,Opponent Total,,27.2,3.0,3.0,270,3.0,3.0,1.0,,,,0.0,0.0,3.0,0,0.0,0,0,0,0,,
Japan,all_competitions,Zion Suzuki,GK,23.0,10.0,10.0,900,10.0,2.0,0.2,11.0,9.0,81.8,8.0,2.0,0.0,8,80.0,0,0,0,0,,Matches
Japan,all_competitions,Keisuke Ōsako,GK,26.0,3.0,3.0,245,2.7,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,3,100.0,0,0,0,0,,Matches
Japan,all_competitions,Kosei Tani,GK,25.0,2.0,1.0,105,1.2,1.0,0.86,3.0,2.0,66.7,0.0,0.0,1.0,1,100.0,0,0,0,0,,Matches
Japan,all_competitions,Daiya Maekawa,GK,31.0,2.0,1.0,100,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Japan,all_competitions,Squad Total,,28.1,16.0,16.0,"1,350",15.0,3.0,0.2,14.0,11.0,78.6,12.0,2.0,1.0,12,75.0,0,0,0,0,,
Japan,all_competitions,Opponent Total,,28.9,16.0,16.0,"1,350",15.0,51.0,3.4,54.0,25.0,9.3,1.0,2.0,12.0,2,12.5,2,2,0,0,0.0,
Japan,all_competitions,Zion Suzuki,GK,23-297,13.0,13.0,"1,161",12.9,2.0,0.16,11.0,9.0,81.8,11.0,2.0,0.0,11,84.6,0,0,0,0,,Matches
Japan,all_competitions,Keisuke Ōsako,GK,26-321,3.0,3.0,245,2.7,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,3,100.0,0,0,0,0,,Matches
Japan,all_competitions,Kosei Tani,GK,25-204,2.0,1.0,105,1.2,1.0,0.86,3.0,2.0,66.7,0.0,0.0,1.0,1,100.0,0,0,0,0,,Matches
Japan,all_competitions,Daiya Maekawa,GK,31-279,2.0,1.0,100,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Japan,all_competitions,Tomoki Hayakawa,GK,27-103,1.0,0.0,9,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Jordan,all_competitions,Yazeed Abulaila,GK,33-157,2.0,2.0,135,1.5,5.0,3.33,,,,0.0,0.0,2.0,0,0.0,2,2,0,0,0.0,Matches
