Country,squad_total_market_value,squad_avg_market_value,squad_total_injuries,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,squad_avg_age,squad_median_age,squad_total_caps,squad_avg_caps,squad_injury_burden,squad_depth_DF,squad_depth_FW,squad_depth_GK,squad_depth_MF,squad_top_league_ratio,squad_avg_impact_score
Netherlands,804200000.0,30930769.230769232,274,0.0,,0.0,58.0,38.0,27.74013846153846,27.09855,328.0,12.615384615384617,1037.0,11.0,9.0,3.0,3.0,0.8461538461538461,-0.0962329570365077
New Zealand,31800000.0,1325000.0,100,0.0,,0.0,58.0,46.0,28.117665384615385,27.1191,228.0,9.12,843.0,9.0,5.0,3.0,9.0,0.0384615384615384,-1.0530617936804183
Norway,589900000.0,22688461.53846154,179,0.0,,0.0,76.0,66.0,26.803903846153847,26.954500000000003,390.0,15.0,604.0,12.0,7.0,3.0,4.0,0.6538461538461539,0.3516506791206762
Panama,27825000.0,1391250.0,84,0.0,,0.0,48.0,32.0,30.43562307692308,29.8504,454.0,17.46153846153846,500.0,11.0,7.0,3.0,5.0,0.0,0.1830679737614081
Paraguay,142300000.0,5692000.0,136,1.0,0.0384615384615384,1.0,42.0,26.0,29.0332,29.67485,562.0,21.615384615384617,874.0,8.0,7.0,3.0,8.0,0.1538461538461538,-0.0236161343353797
Portugal,1002000000.0,40080000.0,228,0.0,,0.0,52.0,32.0,28.035065384615383,26.8641,0.0,0.0,668.0,9.0,9.0,3.0,5.0,0.6538461538461539,0.7208244627012307
Qatar,26475000.0,1203409.0909090908,58,1.0,0.0384615384615384,1.0,52.0,42.0,29.507511538461536,29.59825,0.0,0.0,650.0,8.0,9.0,3.0,6.0,0.0,-0.9761513750474428
Saudi Arabia,28275000.0,1488157.894736842,70,0.0,,0.0,44.0,22.0,28.51784615384615,27.116,546.0,21.0,475.0,11.0,4.0,3.0,7.0,0.0384615384615384,-0.8793224156227032
Scotland,189750000.0,7027777.777777778,218,1.0,0.0384615384615384,0.0,42.0,26.0,29.03477037037037,29.9117,352.0,13.037037037037036,970.0,11.0,6.0,3.0,7.0,0.4444444444444444,-0.0802717987863174
Senegal,478100000.0,18388461.53846154,163,0.0,,0.0,52.0,26.0,27.087242307692307,26.6913,392.0,15.076923076923077,634.0,9.0,7.0,3.0,7.0,0.7692307692307693,0.0110421128948705
South Africa,49250000.0,1894230.7692307688,47,0.0,0.0,0.0,28.0,22.0,26.80726153846154,25.892850000000003,316.0,12.153846153846152,153.0,11.0,4.0,3.0,8.0,0.0384615384615384,-1.222039319759895
Spain,1192800000.0,47712000.0,228,0.0,,0.0,52.0,36.0,26.74714615384616,27.047600000000003,270.0,10.384615384615383,1253.0,9.0,8.0,3.0,6.0,1.0,0.7828646138769245
Sweden,416075000.0,15410185.185185185,162,0.0,,0.0,24.0,18.0,27.50201111111112,27.6379,280.0,10.37037037037037,1032.0,9.0,8.0,3.0,7.0,0.5555555555555556,-1.3881898279429212
Switzerland,332500000.0,12788461.538461538,292,1.0,0.0384615384615384,0.0,44.0,34.0,28.307250000000003,28.91615,362.0,13.923076923076923,1015.0,9.0,6.0,3.0,8.0,0.8846153846153846,-0.3757988080701442
Tunisia,69400000.0,2776000.0,119,0.0,,0.0,22.0,16.0,26.644653846153844,26.87645,286.0,11.0,415.0,11.0,7.0,3.0,5.0,0.2692307692307692,-0.499807159543033
Türkiye,473700000.0,18219230.769230768,290,0.0,0.0,0.0,46.0,36.0,27.672396153846154,27.5051,348.0,13.384615384615383,707.0,10.0,3.0,3.0,10.0,0.3461538461538461,0.2183837425156927
USA,385650000.0,14832692.307692308,201,3.0,0.1153846153846153,3.0,16.0,14.0,26.904830769230777,26.7943,182.0,7.0,6700.0,9.0,5.0,3.0,9.0,0.5,-0.24252929780590934
Uruguay,364800000.0,14030769.23076923,277,0.0,,0.0,42.0,34.0,28.741980769230768,27.841900000000003,0.0,0.0,986.0,11.0,8.0,3.0,4.0,0.3076923076923077,-0.9010786122213116
Uzbekistan,73525000.0,3676250.0,52,0.0,,0.0,46.0,40.0,28.51142692307692,28.95995,444.0,17.76,563.0,10.0,6.0,3.0,7.0,0.0384615384615384,-1.0160908838702212
