Feature,VIF
squad_total_caps,77.94408151074163
squad_total_allcomps_goals,310.24591736286123
group_losses,inf
group_goals_against,inf
group_goals_difference,inf
squad_depth_FW,1121.601900645828
squad_depth_GK,20870.427925921853
squad_avg_impact_score,19.842201592949948
squad_total_market_value,1692.9718337511215
squad_total_wc_goals,157440.5764888008
group_points,inf
squad_median_age,39.257964646714576
squad_injury_burden,112.73555727186235
squad_avg_market_value,1312.8634615897688
squad_total_injuries,554.2061728222192
squad_total_wc_assists,1510.5912507515056
squad_total_allcomps_assists,223.69549981052592
group_wins,inf
squad_avg_age,107.44425952735854
squad_avg_caps,78.24031122862445
squad_depth_DF,1825.1889148287257
squad_avg_wc_goals,68235.89493806045
group_goals_for,inf
squad_depth_MF,995.9259360633397
group_draws,40479.12492802506
squad_top_league_ratio,331.63697643991264
group_rank,9.979462702285561
group_last_5_form_L L W W W,6.1235202155431345
Country_Qatar,76.88041237241401
Country_Türkiye,60.024496585691196
Country_Brazil,215.00092577955684
Country_Czechia,48.42897281067173
Country_Algeria,4.232597666909748
Country_Argentina,87.0240596045529
Country_Australia,106.58681691373577
Country_Austria,11.260886233614709
Country_Belgium,2.9238071352902844
Country_Bosnia and Herzegovina,4542.039290054725
Country_Cabo Verde,4550.391301170486
Country_Canada,10.68414236069596
Country_Colombia,23.645933569663754
Country_Congo DR,3.969664161837911
Country_Croatia,13.769123534336481
Country_Curaçao,3.7645625258446986
Country_Côte d'Ivoire,12.517834674582778
Country_Ecuador,13.141799366304692
Country_Egypt,1028.7579102553948
Country_England,2.9113693822275604
Country_France,43.538887812529936
Country_Germany,63.19072603670265
