,count,mean,std,min,25%,50%,75%,max
Performance_SoTA_allcomps,124.0,13.564516129032258,21.986781666643445,0.0,0.0,0.0,20.5,102.0
Performance_Saves_allcomps,124.0,10.080645161290322,16.540463700204455,0.0,0.0,0.0,16.0,78.0
Performance_Save%_allcomps,60.0,73.09333333333332,20.178551197668067,0.0,63.78333333333333,75.0,82.475,100.0
Performance_W_allcomps,124.0,5.967741935483871,6.35524939398058,0.0,0.0,3.0,10.0,26.0
Performance_D_allcomps,124.0,2.3548387096774195,3.0288411704086675,0.0,0.0,2.0,4.0,12.0
Performance_L_allcomps,124.0,1.6129032258064515,2.346800892615947,0.0,0.0,0.0,2.0,10.0
Performance_CS_allcomps,124.0,5.5,5.608501096803453,0.0,2.0,4.0,8.0,22.0
Performance_CS%_allcomps,108.0,56.895293209876534,41.179588215000955,0.0,27.766666666666666,50.0,88.375,200.0
Penalty Kicks_PKatt_allcomps,124.0,0.7258064516129032,1.4501960040075061,0.0,0.0,0.0,2.0,8.0
Penalty Kicks_PKA_allcomps,124.0,0.5645161290322581,1.263894712887982,0.0,0.0,0.0,0.0,6.0
Penalty Kicks_PKsv_allcomps,124.0,0.12903225806451613,0.5553544526306134,0.0,0.0,0.0,0.0,4.0
Penalty Kicks_PKm_allcomps,124.0,0.03225806451612903,0.25296562544743517,0.0,0.0,0.0,0.0,2.0
Penalty Kicks_Save%_allcomps,31.0,20.967741935483872,40.361271759751524,0.0,0.0,0.0,0.0,100.0
total_injuries,1257.0,7.194908512330946,7.318898809834568,0.0,1.0,5.0,12.0,45.0
total_days_out,1257.0,210.21002386634845,244.3581814120595,0.0,25.0,141.0,311.0,2133.0
avg_days_out,1257.0,29.282350072803535,32.79317247607356,0.0,11.0,21.666666666666668,37.5,322.0
total_matches_missed,1257.0,32.9085123309467,39.76702134180694,0.0,3.0,22.0,48.0,392.0
xg_overperformance,0.0,,,,,,,
minutes_per_goal,484.0,52.630320378370484,62.48153283408784,0.1666666666666666,15.125,34.5,60.0625,453.5
discipline_score,1257.0,3.8933969769291963,5.901103426648039,0.0,0.0,2.0,5.0,48.0
impact_score_raw,1257.0,0.0,1.9485306499233757,-11.347553999009737,-1.0794269014129707,-0.0446339301328658,1.0601101762845575,14.67169065681231
position_encoded,1257.0,2.6658711217183773,1.001458280308681,0.0,2.0,3.0,4.0,4.0
league_tier,1257.0,2.33969769291965,1.2719252562875905,1.0,1.0,2.0,4.0,4.0
experience_level,1257.0,-6.500589865744752e-17,1.5222196249820175,-3.405345244694826,-1.1399232823614711,-0.1216822022507748,0.99529743387077,5.270889985577211
