,count,mean,std,min,25%,50%,75%,max
MP_allcomps,8504.0,13.32925682031985,9.671969444341286,0.0,6.0,12.0,20.0,44.0
Playing Time_Starts_allcomps,8504.0,11.276105362182502,8.750354604528763,0.0,4.0,10.0,16.0,42.0
Playing Time_90s_allcomps,8400.0,3.579696428571429,2.478773912237564,0.0,1.6666666666666667,3.0666666666666664,4.833333333333333,13.333333333333334
Performance_Gls_allcomps,8504.0,2.3029162746942617,3.908931679474031,0.0,0.0,0.0,4.0,32.0
Performance_Ast_allcomps,8504.0,1.6055973659454374,2.5512545210839717,0.0,0.0,0.0,2.0,22.0
Performance_G+A_allcomps,8504.0,3.9085136406396987,5.463668973872125,0.0,0.0,2.0,6.0,38.0
Performance_G-PK_allcomps,8504.0,2.0552681091251177,3.486268218739348,0.0,0.0,0.0,2.0,32.0
Performance_PK_allcomps,8504.0,0.24764816556914393,0.9370679349073199,0.0,0.0,0.0,0.0,10.0
Performance_PKatt_allcomps,8504.0,0.3017403574788335,1.0686059355546753,0.0,0.0,0.0,0.0,10.0
Performance_CrdY_allcomps,8504.0,1.3640639698965193,1.9389984923617667,0.0,0.0,0.0,2.0,12.0
Performance_CrdR_allcomps,8504.0,0.06396989651928504,0.3559280036355986,0.0,0.0,0.0,0.0,4.0
Per 90 Minutes_Gls_allcomps,8400.0,0.23450654761904763,0.5044949587483578,0.0,0.0,0.0,0.32,8.096666666666666
Per 90 Minutes_Ast_allcomps,8400.0,0.13935267857142858,0.23422255644980647,0.0,0.0,0.0,0.2266666666666666,3.33
Per 90 Minutes_G+A_allcomps,8400.0,0.37378640873015867,0.5728596912658634,0.0,0.0,0.1833333333333333,0.5825,8.096666666666666
Per 90 Minutes_G-PK_allcomps,8400.0,0.2165530753968254,0.49366408895449704,0.0,0.0,0.0,0.2875,8.096666666666666
Per 90 Minutes_G+A-PK_allcomps,8400.0,0.3558327380952381,0.55867297344854,0.0,0.0,0.18,0.53,8.096666666666666
90s_allcomps,8400.0,3.579696428571429,2.478773912237564,0.0,1.6666666666666667,3.0666666666666664,4.833333333333333,13.333333333333334
Standard_Gls_allcomps,8400.0,2.3314285714285714,3.9245974213023573,0.0,0.0,0.0,4.0,32.0
Standard_Sh_allcomps,8400.0,9.102142857142857,15.127510429206678,0.0,0.0,2.0,10.0,112.0
Standard_SoT_allcomps,8400.0,3.5435714285714286,6.8683298969212565,0.0,0.0,0.0,4.0,56.0
Standard_SoT%_allcomps,4918.0,33.60271790700827,25.780977950867754,0.0,11.1,33.3,50.0,100.0
Standard_Sh/90_allcomps,6349.0,1.6469822019215623,2.3458872541583267,0.0,0.21,0.9666666666666668,2.31,45.0
Standard_SoT/90_allcomps,6349.0,0.6315382999947499,1.0776540272594457,0.0,0.0,0.22,0.89,10.0
Standard_G/Sh_allcomps,8400.0,0.17614047619047618,0.38627612925737853,0.0,0.0,0.0,0.22,4.0
Standard_G/SoT_allcomps,8400.0,0.35958214285714285,0.6649305876777718,0.0,0.0,0.0,0.5,4.0
Standard_PK_allcomps,8400.0,0.2507142857142857,0.9424438795184973,0.0,0.0,0.0,0.0,10.0
Standard_PKatt_allcomps,8400.0,0.30547619047619046,1.0746706589785766,0.0,0.0,0.0,0.0,10.0
Performance_2CrdY_allcomps,8400.0,0.010952380952380953,0.14760555881961035,0.0,0.0,0.0,0.0,2.0
Performance_Fls_allcomps,8400.0,6.571666666666666,9.280297746358293,0.0,0.0,4.0,10.0,68.0
Performance_Fld_allcomps,8400.0,7.080952380952381,11.41921600425345,0.0,0.0,2.0,8.0,90.0
Performance_Off_allcomps,8400.0,0.9330952380952381,2.363612705685938,0.0,0.0,0.0,0.0,22.0
Performance_Crs_allcomps,8400.0,10.927380952380952,23.214893191878804,0.0,0.0,0.0,10.0,194.0
Performance_Int_allcomps,8400.0,4.274523809523809,7.9113054793036595,0.0,0.0,0.0,6.0,58.0
Performance_TklW_allcomps,8400.0,5.081666666666667,7.9537894490109755,0.0,0.0,2.0,8.0,66.0
Performance_PKwon_allcomps,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_PKcon_allcomps,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_OG_allcomps,8400.0,0.02142857142857143,0.20591990472199723,0.0,0.0,0.0,0.0,2.0
