Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Algeria,Kévin Van Den Kerkhof,"DF,MF",29.0,2.0,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ahmed Touba,DF,27.0,2.0,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Monsef Bakrar,FW,25.0,2.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Samir Chergui,DF,26.0,1.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Mehdi Dorval,"DF,MF",24.0,1.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ilan Kebbal,"FW,MF",27.0,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Amin Chiakha,FW,19.0,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Zineddine Belaïd,DF,26.0,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Oussama Benbot,GK,31.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Badredine Bouanani,MF,21.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Zakaria Bouhalfaya,GK,28.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Chouhaib Keddad,DF,31.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Naoufel Khacef,DF,28.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Sohaib Nair,DF,23.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Alexandre Oukidja,GK,37.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Moustapha Zeghba,GK,35.0,0.0,0,,,,,,,,,,,,,,,
Algeria,Rayan Aït-Nouri,DF,25.0219,4.0,4,240.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37
Algeria,Zineddine Belaïd,DF,27.2355,4.0,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Amine Gouiri,FW,26.3231,4.0,3,245.0,2.7,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.47,0.0,1.47,1.47,1.47
Algeria,Houssem Aouar,MF,27.9555,4.0,3,222.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.41,0.41,0.81,0.41,0.81
Algeria,Mohamed Amoura,"FW,MF",26.0986,4.0,3,199.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9,0.9,0.0,0.9
