Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Bosnia-Herzegovina,Samed Baždar,FW,22.366872005475702,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Armin Gigovic,MF,24.188911704312115,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Kerim Alajbegović,MF,18.72826830937714,,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Ivan Šunjić,MF,29.67898699520876,,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Dženis Burnić,MF,28.06297056810404,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Edin Džeko,FW,40.24366872005476,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Amir Hadžiahmetović,MF,29.268309377138944,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Dennis Hadžikadunić,DF,27.930869267624914,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Mladen Jurkas,GK,18.684462696783026,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Ermin Mahmić,MF,21.251882272416154,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Arjan Malic,DF,20.79397672826831,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Nihad Mujakić,DF,28.164271047227928,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Stjepan Radeljić,DF,28.772073921971252,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Haris Tabaković,FW,31.982888432580424,,0,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Martin Zlomislić,GK,27.826830937713893,,0,,,,,,,,,,,,,,,
Brazil,Alisson,GK,33.69815195071869,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Vinicius Júnior,FW,25.922655715263517,1.0,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Brazil,Gabriel Magalhães,DF,28.484599589322382,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Marquinhos,DF,32.0848733744011,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Raphinha,MF,29.49828884325804,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Douglas Santos,DF,32.2299794661191,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Bruno Guimarães,MF,28.57494866529774,1.0,1,79.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,1.14
Brazil,Igor Thiago,FW,24.966461327857633,1.0,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Lucas Paquetá,MF,28.79671457905544,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Casemiro,MF,34.303901437371664,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Roger Ibanez,DF,27.555783709787818,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Danilo,"DF,MF",34.91444216290212,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Fabinho,"DF,MF",32.64065708418891,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Matheus Cunha,"FW,MF",27.04928131416838,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Luiz Henrique,"FW,MF",25.44626967830253,1.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Danilo Santos,MF,25.125941136208077,1.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Gleison Bremer,DF,29.240930869267626,0.0,0,,,,,,,,,,,,,,,
Brazil,Ederson,GK,32.824093086926766,0.0,0,,,,,,,,,,,,,,,
Brazil,Éderson,MF,26.93634496919918,0.0,0,,,,,,,,,,,,,,,
Brazil,Endrick,FW,19.89801505817933,0.0,0,,,,,,,,,,,,,,,
Brazil,Gabriel Martinelli,"FW,MF",24.98836413415469,0.0,0,,,,,,,,,,,,,,,
Brazil,Léo Pereira,DF,30.366872005475702,0.0,0,,,,,,,,,,,,,,,
Brazil,Rayan,MF,19.862422997946613,0.0,0,,,,,,,,,,,,,,,
Brazil,Alex Sandro,"DF,MF",35.380561259411365,0.0,0,,,,,,,,,,,,,,,
Brazil,Wéverton,GK,38.50102669404517,0.0,0,,,,,,,,,,,,,,,
Canada,Derek Cornelius,DF,28.550308008213552,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Maxime Crépeau,GK,32.09308692676249,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Luc De Fougerolles,DF,20.670773442847366,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Alistair Johnston,DF,27.681724845995895,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Ismaël Koné,MF,23.993839835728952,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
