Country,Player,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Belgium,Matz Sels,GK,34.2957,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Belgium,Thibaut Courtois,GK,33.0,4.0,360,4.0,2.0,0.5,5.0,3.0,60.0,3.0,1.0,0.0,3,75.0,0,0,0,0,
Belgium,Matz Sels,GK,33.0,3.0,270,3.0,5.0,1.67,12.0,8.0,66.7,1.0,2.0,0.0,0,0.0,1,1,0,0,0.0
Belgium,Senne Lammens,GK,23.0,1.0,90,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
Belgium,Thibaut Courtois,GK,34.0931,6.0,540,6.0,2.0,0.33,5.0,3.0,60.0,5.0,1.0,0.0,5,83.3,0,0,0,0,
Belgium,Matz Sels,GK,34.2957,4.0,360,4.0,6.0,1.5,12.0,8.0,66.7,1.0,3.0,0.0,0,0.0,1,1,0,0,0.0
Belgium,Senne Lammens,GK,23.9363,2.0,180,2.0,2.0,1.0,1.0,1.0,100.0,2.0,0.0,0.0,1,50.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,1.0,90,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Martin Zlomislić,GK,27.8268,1.0,90,1.0,0.0,0.0,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.0,10.0,960,10.7,9.0,0.84,27.0,19.0,70.4,5.0,4.0,1.0,3,30.0,1,1,0,0,0.0
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,12.0,"1,140",12.7,11.0,0.87,29.0,20.0,69.0,5.0,6.0,1.0,3,25.0,1,1,0,0,0.0
Bosnia-Herzegovina,Martin Zlomislić,GK,27.8268,1.0,90,1.0,0.0,0.0,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,1.0,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,2.0,90,1.0,2.0,2.0,,,,2.0,0.0,0.0,0,0.0,0,0,0,0,
Brazil,Ederson,GK,32.8241,1.0,135,1.5,3.0,2.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Brazil,Bento,GK,27.011,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Brazil,Wéverton,GK,38.501,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Brazil,Alisson,GK,33.0,9.0,797,8.9,6.0,0.68,31.0,26.0,83.9,4.0,1.0,4.0,4,44.4,1,1,0,0,0.0
Brazil,Ederson,GK,32.0,8.0,720,8.0,7.0,0.87,16.0,9.0,56.3,4.0,3.0,1.0,2,25.0,0,0,0,0,
Brazil,Bento,GK,26.0,1.0,103,1.1,4.0,3.5,7.0,3.0,42.9,0.0,0.0,1.0,0,0.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,12.0,977,10.9,9.0,0.83,34.0,28.0,82.4,6.0,2.0,4.0,4,33.3,1,1,0,0,0.0
Brazil,Ederson,GK,32.8241,9.0,855,9.5,10.0,1.05,16.0,9.0,56.3,4.0,3.0,2.0,2,22.2,0,0,0,0,
Brazil,Bento,GK,27.011,2.0,193,2.1,5.0,2.33,7.0,3.0,42.9,1.0,0.0,1.0,0,0.0,0,0,0,0,
Brazil,Wéverton,GK,38.501,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Canada,Maxime Crépeau,GK,32.0931,1.0,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,
Canada,Maxime Crépeau,GK,32.0931,3.0,225,2.5,1.0,0.4,,,,1.0,2.0,0.0,2,66.7,1,0,1,0,100.0
Canada,Dayne St. Clair,GK,29.0986,1.0,135,1.5,2.0,1.33,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Canada,Maxime Crépeau,GK,32.0931,4.0,315,3.5,2.0,0.57,3.0,2.0,66.7,1.0,3.0,0.0,2,50.0,1,0,1,0,100.0
Canada,Dayne St. Clair,GK,29.0986,1.0,135,1.5,2.0,1.33,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Cape Verde,Vozinha,GK,39.0,10.0,900,10.0,8.0,0.8,,,,7.0,2.0,1.0,7,70.0,1,1,0,0,0.0
Cape Verde,Vozinha,GK,40.0301,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Cape Verde,Márcio Rosa,GK,29.3039,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Cape Verde,C.J. dos Santos,GK,25.8049,0.0,44,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Cape Verde,Vozinha,GK,40.0301,11.0,990,11.0,8.0,0.73,,,,8.0,2.0,1.0,9,81.8,1,1,0,0,0.0
Cape Verde,Márcio Rosa,GK,29.3039,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Cape Verde,C.J. dos Santos,GK,25.8049,0.0,44,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Colombia,Camilo Vargas,GK,37.2656,3.0,208,2.3,3.0,1.3,,,,2.0,0.0,1.0,1,33.3,0,0,0,0,
Colombia,Álvaro David Montero,GK,31.2108,1.0,123,1.4,3.0,2.2,,,,0.0,0.0,1.0,1,100.0,0,0,0,0,
Colombia,David Ospina,GK,37.7858,0.0,17,0.2,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Colombia,Camilo Vargas,GK,36.0,14.0,"1,256",14.0,13.0,0.93,51.0,39.0,76.5,6.0,4.0,4.0,5,35.7,1,1,0,0,0.0
Colombia,Kevin Mier,GK,25.0,3.0,270,3.0,4.0,1.33,12.0,8.0,66.7,1.0,2.0,0.0,1,33.3,0,0,0,0,
Colombia,Álvaro David Montero,GK,30.0,1.0,91,1.0,1.0,0.99,3.0,3.0,100.0,0.0,1.0,0.0,1,100.0,1,1,0,0,0.0
Colombia,Camilo Vargas,GK,37.2656,17.0,"1,464",16.3,16.0,0.98,51.0,39.0,76.5,8.0,4.0,5.0,6,35.3,1,1,0,0,0.0
Colombia,Kevin Mier,GK,26.0739,3.0,270,3.0,4.0,1.33,12.0,8.0,66.7,1.0,2.0,0.0,1,33.3,0,0,0,0,
Colombia,Álvaro David Montero,GK,31.2108,2.0,214,2.4,4.0,1.68,3.0,3.0,100.0,0.0,1.0,1.0,2,100.0,1,1,0,0,0.0
Colombia,David Ospina,GK,37.7858,0.0,17,0.2,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Congo DR,Lionel Mpasi,GK,31.0,6.0,569,6.3,2.0,0.32,,,,4.0,1.0,1.0,4,66.7,0,0,0,0,
Congo DR,Dimitry Bertaud,GK,27.0,6.0,540,6.0,5.0,0.83,,,,4.0,1.0,1.0,3,50.0,0,0,0,0,
Congo DR,Timothy Fayulu,GK,26.0,0.0,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Congo DR,Lionel Mpasi,GK,31.8679,2.0,180,2.0,2.0,1.0,,,,0.0,1.0,1.0,1,50.0,0,0,0,0,
Congo DR,Lionel Mpasi,GK,31.0,1.0,120,1.3,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Congo DR,Lionel Mpasi,GK,31.8679,9.0,869,9.7,4.0,0.41,,,,5.0,2.0,2.0,6,66.7,0,0,0,0,
Congo DR,Dimitry Bertaud,GK,28.0219,6.0,540,6.0,5.0,0.83,,,,4.0,1.0,1.0,3,50.0,0,0,0,0,
Congo DR,Timothy Fayulu,GK,26.8898,0.0,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Croatia,Dominik Livaković,GK,31.4271,4.0,328,3.6,6.0,1.65,,,,2.0,0.0,2.0,0,0.0,1,1,0,0,0.0
Croatia,Dominik Kotarski,GK,26.3395,0.0,32,0.4,1.0,2.81,,,,0.0,0.0,0.0,0,,0,0,0,0,
Croatia,Dominik Livaković,GK,31.0,7.0,630,7.0,4.0,0.57,19.0,15.0,78.9,6.0,1.0,0.0,4,57.1,0,0,0,0,
Croatia,Dominik Kotarski,GK,25.0,1.0,90,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Croatia,Dominik Livaković,GK,31.4271,11.0,958,10.6,10.0,0.94,19.0,15.0,78.9,8.0,1.0,2.0,4,36.4,1,1,0,0,0.0
Croatia,Dominik Kotarski,GK,26.3395,1.0,122,1.4,1.0,0.74,0.0,0.0,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Curaçao,Eloy Room,GK,37.3504,1.0,135,1.5,4.0,2.67,,,,0.0,0.0,1.0,1,100.0,1,1,0,0,0.0
Curaçao,Trevor Doornbusch,GK,26.9391,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Curaçao,Eloy Room,GK,36.0,10.0,900,10.0,5.0,0.5,,,,7.0,3.0,0.0,6,60.0,1,1,0,0,0.0
Curaçao,Eloy Room,GK,37.3504,11.0,"1,035",11.5,9.0,0.78,,,,7.0,3.0,1.0,7,63.6,2,2,0,0,0.0
Curaçao,Trevor Doornbusch,GK,26.9391,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Czechia,Matej Kovar,GK,26.0767,1.0,90,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0,0.0,0,0,0,0,
Czechia,Lukáš Horníček,GK,23.9199,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Czechia,Matej Kovar,GK,26.0767,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Czechia,Matej Kovar,GK,25.0,9.0,870,9.7,12.0,1.24,27.0,18.0,66.7,4.0,3.0,2.0,4,44.4,3,3,0,0,0.0
Czechia,Jindřich Staněk,GK,29.0,1.0,90,1.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
Czechia,Matej Kovar,GK,26.0767,11.0,"1,050",11.7,15.0,1.29,33.0,22.0,66.7,5.0,3.0,3.0,4,36.4,3,3,0,0,0.0
Czechia,Lukáš Horníček,GK,23.9199,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Czechia,Jindřich Staněk,GK,30.1314,1.0,90,1.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
Côte d'Ivoire,Yahia Fofana,GK,25.0,9.0,810,9.0,0.0,0.0,,,,7.0,2.0,0.0,9,100.0,0,0,0,0,
Côte d'Ivoire,Alban Lafont,GK,27.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Côte d'Ivoire,Yahia Fofana,GK,25.8131,2.0,180,2.0,1.0,0.5,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,
Côte d'Ivoire,Alban Lafont,GK,27.3888,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Côte d'Ivoire,Yahia Fofana,GK,25.8131,11.0,990,11.0,1.0,0.09,,,,9.0,2.0,0.0,10,90.9,0,0,0,0,
