Country,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Australia,Cammy Devlin,MF,27.0,0.2,0,,,,,,,,0,0
Australia,Marco Tilio,MF,24.0,0.2,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Jackson Irvine,"DF,MF",33.271,14.3,3,8.0,5.0,62.5,0.61,0.38,0.38,0.6,0,0
Australia,Harry Souttar,DF,27.6434,13.9,2,7.0,3.0,42.9,0.58,0.25,0.29,0.67,0,0
Australia,Cameron Burgess,DF,30.6461,13.0,0,1.0,1.0,100.0,0.08,0.08,0.0,0.0,0,0
Australia,Mathew Ryan,GK,34.1834,12.0,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Aziz Behich,"DF,MF",35.4928,11.5,1,2.0,1.0,50.0,0.19,0.09,0.5,1.0,0,0
Australia,Connor Metcalfe,MF,26.6051,9.6,2,4.0,2.0,50.0,0.48,0.24,0.5,1.0,0,0
Australia,Aiden O'Neill,MF,27.9446,9.0,0,3.0,0.0,0.0,0.39,0.0,0.0,,0,0
Australia,Lewis Miller,"MF,DF",25.8049,8.7,2,8.0,2.0,25.0,0.92,0.23,0.25,1.0,0,0
Australia,Mitchell Duke,FW,35.4025,8.2,3,9.0,2.0,22.2,1.1,0.24,0.33,1.5,0,0
Australia,Kye Rowles,DF,27.9719,7.0,1,0.0,0.0,,0.0,0.0,,,0,0
Australia,Jordy Bos,DF,23.6242,6.8,0,3.0,0.0,0.0,0.52,0.0,0.0,,0,0
Australia,Jason Geria,DF,33.0958,6.8,0,2.0,0.0,0.0,0.32,0.0,0.0,,0,0
Australia,Alessandro Circati,DF,22.6762,6.5,0,8.0,3.0,37.5,1.6,0.6,0.0,0.0,0,0
Australia,Craig Goodwin,"MF,FW",34.4928,6.5,3,5.0,3.0,60.0,0.77,0.46,0.6,1.0,0,0
Australia,Kusini Yengi,FW,27.4107,5.1,6,5.0,3.0,60.0,0.98,0.59,1.0,1.67,1,1
Australia,Joe Gauci,GK,25.9446,5.0,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Martin Boyle,"FW,MF",33.1369,4.9,2,5.0,2.0,40.0,1.02,0.41,0.2,0.5,1,1
Australia,Keanu Baccus,MF,28.0192,4.5,1,2.0,0.0,0.0,0.44,0.0,0.5,,0,0
Australia,Riley McGree,MF,27.6133,4.3,0,5.0,1.0,20.0,1.15,0.23,0.0,0.0,0,0
Australia,Nestory Irankunda,MF,20.3422,4.0,2,7.0,3.0,42.9,2.25,0.96,0.14,0.33,1,1
Australia,Ajdin Hrustic,MF,29.9418,3.7,0,4.0,2.0,50.0,1.17,0.58,0.0,0.0,0,0
Australia,Brandon Borrello,"FW,MF",30.8871,3.6,1,3.0,1.0,33.3,0.84,0.28,0.33,1.0,0,0
Australia,Miloš Degenek,"DF,MF",32.1287,3.2,0,1.0,0.0,0.0,0.33,0.0,0.0,,0,0
Australia,Nishan Velupillay,MF,25.104,2.9,3,5.0,3.0,60.0,1.91,1.14,0.6,1.0,0,0
Australia,Adam Taggart,FW,33.0329,2.5,1,1.0,1.0,100.0,0.4,0.4,1.0,1.0,0,0
Australia,Patrick Yazbek,MF,24.1916,2.2,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Mo Touré,FW,22.219,2.2,0,1.0,0.0,0.0,0.91,0.0,0.0,,0,0
Australia,Jacob Italiano,DF,24.8734,2.0,0,1.0,0.0,0.0,1.23,0.0,0.0,,0,0
Australia,Patrick Beach,GK,22.8542,2.0,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Paul Okon-Engstler,MF,21.386,2.0,0,0.0,0.0,,0.0,0.0,,,0,0
