Country,squad_avg_age,squad_median_age,squad_total_market_value,squad_avg_market_value,squad_injury_burden,squad_total_injuries,squad_depth_GK,squad_depth_DF,squad_depth_MF,squad_depth_FW,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,group_rank,group_matches_played,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goals_difference,group_points,group_last_5_form,group_notes
Paraguay,29.0332,29.67485,142300000.0,5692000.0,3765,136,3,8,10,7,1.0,0.038461538461538464,1.0,42.0,26.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,-3.0,0.0,W W L W L,
Portugal,28.035065384615386,26.8641,1002000000.0,40080000.0,5446,228,3,9,20,9,0.0,,0.0,52.0,32.0,,,,,,,,,,,
Qatar,29.507511538461536,29.59825,26475000.0,1203409.0909090908,2513,58,3,8,8,9,1.0,0.038461538461538464,1.0,52.0,42.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,
Qatar,29.507511538461536,29.59825,26475000.0,1203409.0909090908,2513,58,3,8,8,9,1.0,0.038461538461538464,1.0,52.0,42.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D W L D D,
Saudi Arabia,28.51784615384615,27.116,28275000.0,1488157.894736842,2226,70,3,11,12,5,0.0,,0.0,44.0,22.0,,,,,,,,,,,
Scotland,29.03477037037037,29.9117,189750000.0,7027777.777777778,11239,218,3,11,11,6,1.0,0.038461538461538464,0.0,42.0,26.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,L L W W W,
Senegal,27.087242307692307,26.6913,478100000.0,18388461.53846154,4438,163,3,9,14,9,0.0,,0.0,52.0,26.0,,,,,,,,,,,
South Africa,26.80726153846154,25.892850000000003,49250000.0,1894230.7692307692,1595,47,3,11,10,4,0.0,0.0,0.0,28.0,22.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,L D L D L,
Spain,26.747146153846153,27.047600000000003,1192800000.0,47712000.0,6848,228,3,9,19,8,0.0,,0.0,52.0,36.0,,,,,,,,,,,
Sweden,27.502011111111113,27.6379,416075000.0,15410185.185185185,4398,162,3,9,17,8,0.0,,0.0,24.0,18.0,,,,,,,,,,,
Switzerland,28.307250000000003,28.916150000000002,332500000.0,12788461.538461538,7800,292,3,9,15,6,1.0,0.038461538461538464,0.0,44.0,34.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,L D W D D,
Tunisia,26.644653846153844,26.87645,69400000.0,2776000.0,2481,119,3,11,12,7,0.0,,0.0,22.0,16.0,,,,,,,,,,,
Türkiye,27.672396153846154,27.5051,473700000.0,18219230.769230768,5702,290,3,10,12,3,0.0,0.0,0.0,46.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,,
Türkiye,27.672396153846154,27.5051,473700000.0,18219230.769230768,5702,290,3,10,12,3,0.0,0.0,0.0,46.0,36.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,W W W W L,
USA,26.904830769230767,26.7943,385650000.0,14832692.307692308,6700,201,3,9,13,6,3.0,0.11538461538461539,3.0,16.0,14.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,L L W L W,
Uruguay,28.741980769230768,27.841900000000003,364800000.0,14030769.23076923,7055,277,3,11,13,10,0.0,,0.0,42.0,34.0,,,,,,,,,,,
Uzbekistan,28.51142692307692,28.95995,73525000.0,3676250.0,1922,52,3,10,12,6,0.0,,0.0,46.0,40.0,,,,,,,,,,,
