player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,55.0,Mallorca,La Liga,38.0,158.0,47.0,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,56.0,Manchester City,Premier League,38.0,205.0,74.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,57.0,Manchester Utd,Premier League,38.0,215.0,66.0,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,58.0,Marseille,Ligue 1,34.0,195.0,62.0,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,59.0,Metz,Ligue 1,34.0,108.0,31.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,60.0,Milan,Serie A,38.0,166.0,53.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,61.0,Monaco,Ligue 1,34.0,151.0,57.0,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,62.0,Nantes,Ligue 1,34.0,109.0,28.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,63.0,Napoli,Serie A,38.0,179.0,57.0,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,64.0,Newcastle United,Premier League,38.0,176.0,53.0,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,65.0,Nice,Ligue 1,34.0,134.0,35.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,66.0,Nottingham Forest,Premier League,38.0,156.0,47.0,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,67.0,Osasuna,La Liga,38.0,152.0,42.0,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,68.0,Oviedo,La Liga,38.0,119.0,26.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,69.0,Paris FC,Ligue 1,34.0,135.0,46.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,70.0,Paris Saint-Germain,Ligue 1,34.0,226.0,73.0,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,71.0,Parma,Serie A,38.0,104.0,26.0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,72.0,Pisa,Serie A,38.0,106.0,25.0,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,73.0,Rayo Vallecano,La Liga,38.0,183.0,41.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,74.0,RB Leipzig,Bundesliga,34.0,204.0,64.0,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,75.0,Real Betis,La Liga,38.0,183.0,58.0,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,76.0,Real Madrid,La Liga,38.0,253.0,77.0,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,77.0,Real Sociedad,La Liga,38.0,175.0,57.0,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,78.0,Rennes,Ligue 1,34.0,169.0,57.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,79.0,Roma,Serie A,38.0,178.0,59.0,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,80.0,Sassuolo,Serie A,38.0,143.0,45.0,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,81.0,Sevilla,La Liga,38.0,137.0,44.0,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,82.0,St Pauli,Bundesliga,34.0,114.0,29.0,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,83.0,Strasbourg,Ligue 1,34.0,158.0,57.0,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,84.0,Stuttgart,Bundesliga,34.0,207.0,70.0,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,85.0,Sunderland,Premier League,38.0,130.0,38.0,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,86.0,Torino,Serie A,38.0,151.0,42.0,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,87.0,Tottenham Hotspur,Premier League,38.0,146.0,47.0,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,88.0,Toulouse,Ligue 1,34.0,144.0,46.0,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,89.0,Udinese,Serie A,38.0,146.0,44.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,90.0,Union Berlin,Bundesliga,34.0,133.0,44.0,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,91.0,Valencia,La Liga,38.0,123.0,46.0,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,92.0,Villarreal,La Liga,38.0,172.0,71.0,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,93.0,Werder Bremen,Bundesliga,34.0,140.0,36.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,94.0,West Ham United,Premier League,38.0,142.0,44.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,95.0,Wolfsburg,Bundesliga,34.0,142.0,44.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,96.0,Wolves,Premier League,38.0,123.0,26.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,MEX,mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,RSA,za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,KOR,kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,UEPD,eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,CAN,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,UEPA,eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,QAT,qa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,SUI,ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,BRA,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,MAR,ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,HAI,ht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,SCO,gb-sct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,USA,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,PAR,py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,AUS,au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,UEPC,eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,GER,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,CUR,cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,CIV,ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,ECU,ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,NED,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,JPN,jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,UEPB,eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,TUN,tn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,BEL,be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,EGY,eg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,IRN,ir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,NZL,nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,ESP,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,CPV,cv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,KSA,sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,URU,uy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,FRA,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,SEN,sn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,FP02,un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,NOR,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,ARG,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,ALG,dz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,AUT,at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,JOR,jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,POR,pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,FP01,un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,UZB,uz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,COL,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,ENG,gb-eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,CRO,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,GHA,gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fifa_to_iso2_mapping.csv,,,,,,,,,,,,,,,,PAN,pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,1.0,,,,,,,,,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,2.0,,,,,,,,,Boston,USA,Gillette Stadium,East,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,3.0,,,,,,,,,Dallas,USA,AT&T Stadium,Central,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,4.0,,,,,,,,,Houston,USA,NRG Stadium,Central,IAH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,5.0,,,,,,,,,Kansas City,USA,Arrowhead Stadium,Central,MCI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,6.0,,,,,,,,,Los Angeles,USA,SoFi Stadium,West,LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,7.0,,,,,,,,,Miami,USA,Hard Rock Stadium,East,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,8.0,,,,,,,,,New York/New Jersey,USA,MetLife Stadium,East,EWR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,9.0,,,,,,,,,Philadelphia,USA,Lincoln Financial Field,East,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,10.0,,,,,,,,,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,11.0,,,,,,,,,Seattle,USA,Lumen Field,West,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,12.0,,,,,,,,,Toronto,Canada,BMO Field,East,YYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,13.0,,,,,,,,,Vancouver,Canada,BC Place,West,YVR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,14.0,,,,,,,,,Guadalajara,Mexico,Estadio Akron,Central,GDL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,15.0,,,,,,,,,Mexico City,Mexico,Estadio Azteca,Central,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,host_cities.csv,,,,,,,,,16.0,,,,,,,,,Monterrey,Mexico,Estadio BBVA,Central,MTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,15.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2026-06-11 15:00:00-06,Group A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,14.0,,,,2.0,,,,,,,,,,,,,,2.0,3.0,4.0,1.0,2026-06-11 22:00:00-06,Group A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,12.0,,,,3.0,,,,,,,,,,,,,,3.0,5.0,6.0,1.0,2026-06-12 15:00:00-04,Group B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,6.0,,,,4.0,,,,,,,,,,,,,,4.0,13.0,14.0,1.0,2026-06-12 21:00:00-07,Group D,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,10.0,,,,5.0,,,,,,,,,,,,,,5.0,7.0,8.0,1.0,2026-06-13 15:00:00-07,Group B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,8.0,,,,6.0,,,,,,,,,,,,,,6.0,9.0,10.0,1.0,2026-06-13 18:00:00-04,Group C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,2.0,,,,7.0,,,,,,,,,,,,,,7.0,11.0,12.0,1.0,2026-06-13 21:00:00-04,Group C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,13.0,,,,8.0,,,,,,,,,,,,,,8.0,15.0,16.0,1.0,2026-06-14 00:00:00-07,Group D,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,4.0,,,,9.0,,,,,,,,,,,,,,9.0,17.0,18.0,1.0,2026-06-14 13:00:00-05,Group E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,3.0,,,,10.0,,,,,,,,,,,,,,10.0,21.0,22.0,1.0,2026-06-14 16:00:00-05,Group F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,9.0,,,,11.0,,,,,,,,,,,,,,11.0,19.0,20.0,1.0,2026-06-14 19:00:00-04,Group E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,16.0,,,,12.0,,,,,,,,,,,,,,12.0,23.0,24.0,1.0,2026-06-14 22:00:00-06,Group F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,1.0,,,,13.0,,,,,,,,,,,,,,13.0,29.0,30.0,1.0,2026-06-15 12:00:00-04,Group H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,11.0,,,,14.0,,,,,,,,,,,,,,14.0,25.0,26.0,1.0,2026-06-15 15:00:00-07,Group G,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,7.0,,,,15.0,,,,,,,,,,,,,,15.0,31.0,32.0,1.0,2026-06-15 18:00:00-04,Group H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,6.0,,,,16.0,,,,,,,,,,,,,,16.0,27.0,28.0,1.0,2026-06-15 21:00:00-07,Group G,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,8.0,,,,17.0,,,,,,,,,,,,,,17.0,33.0,34.0,1.0,2026-06-16 15:00:00-04,Group I,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,2.0,,,,18.0,,,,,,,,,,,,,,18.0,35.0,36.0,1.0,2026-06-16 18:00:00-04,Group I,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,5.0,,,,19.0,,,,,,,,,,,,,,19.0,37.0,38.0,1.0,2026-06-16 21:00:00-05,Group J,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,10.0,,,,20.0,,,,,,,,,,,,,,20.0,39.0,40.0,1.0,2026-06-17 00:00:00-07,Group J,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,4.0,,,,21.0,,,,,,,,,,,,,,21.0,41.0,42.0,1.0,2026-06-17 13:00:00-05,Group K,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,3.0,,,,22.0,,,,,,,,,,,,,,22.0,45.0,46.0,1.0,2026-06-17 16:00:00-05,Group L,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,12.0,,,,23.0,,,,,,,,,,,,,,23.0,47.0,48.0,1.0,2026-06-17 19:00:00-04,Group L,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,15.0,,,,24.0,,,,,,,,,,,,,,24.0,43.0,44.0,1.0,2026-06-17 22:00:00-06,Group K,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,1.0,,,,25.0,,,,,,,,,,,,,,25.0,4.0,2.0,1.0,2026-06-18 12:00:00-04,Group A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,6.0,,,,26.0,,,,,,,,,,,,,,26.0,8.0,6.0,1.0,2026-06-18 15:00:00-07,Group B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,13.0,,,,27.0,,,,,,,,,,,,,,27.0,5.0,7.0,1.0,2026-06-18 18:00:00-07,Group B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,14.0,,,,28.0,,,,,,,,,,,,,,28.0,1.0,3.0,1.0,2026-06-18 21:00:00-06,Group A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,11.0,,,,29.0,,,,,,,,,,,,,,29.0,13.0,15.0,1.0,2026-06-19 15:00:00-07,Group D,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,2.0,,,,30.0,,,,,,,,,,,,,,30.0,12.0,10.0,1.0,2026-06-19 18:00:00-04,Group C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,9.0,,,,31.0,,,,,,,,,,,,,,31.0,9.0,11.0,1.0,2026-06-19 21:00:00-04,Group C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,10.0,,,,32.0,,,,,,,,,,,,,,32.0,16.0,14.0,1.0,2026-06-20 00:00:00-07,Group D,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,4.0,,,,33.0,,,,,,,,,,,,,,33.0,21.0,23.0,1.0,2026-06-20 13:00:00-05,Group F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,12.0,,,,34.0,,,,,,,,,,,,,,34.0,17.0,19.0,1.0,2026-06-20 16:00:00-04,Group E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,5.0,,,,35.0,,,,,,,,,,,,,,35.0,20.0,18.0,1.0,2026-06-20 20:00:00-05,Group E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,16.0,,,,36.0,,,,,,,,,,,,,,36.0,24.0,22.0,1.0,2026-06-21 00:00:00-06,Group F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,1.0,,,,37.0,,,,,,,,,,,,,,37.0,29.0,31.0,1.0,2026-06-21 12:00:00-04,Group H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,6.0,,,,38.0,,,,,,,,,,,,,,38.0,25.0,27.0,1.0,2026-06-21 15:00:00-07,Group G,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,7.0,,,,39.0,,,,,,,,,,,,,,39.0,32.0,30.0,1.0,2026-06-21 18:00:00-04,Group H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,13.0,,,,40.0,,,,,,,,,,,,,,40.0,28.0,26.0,1.0,2026-06-21 21:00:00-07,Group G,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,3.0,,,,41.0,,,,,,,,,,,,,,41.0,37.0,39.0,1.0,2026-06-22 13:00:00-05,Group J,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,matches.csv,,,,,9.0,,,,42.0,,,,,,,,,,,,,,42.0,33.0,35.0,1.0,2026-06-22 17:00:00-04,Group I,,,,,,,,,,,,,,,,,,,,,
