player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
Thiago Almada,FW,25,,,,,,,,,argentina_world_cup_roster_2026.csv,16.0,Atlético Madrid,2001-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Álvarez,FW,26,,,,,,,,,argentina_world_cup_roster_2026.csv,9.0,Atlético Madrid,2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Balerdi,DF,27,,,,,,,,,argentina_world_cup_roster_2026.csv,,Marseille,1999-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentín Barco,DF,21,,,,,,,,,argentina_world_cup_roster_2026.csv,8.0,Strasbourg,2004-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,FW,32,,,,,,,,,argentina_world_cup_roster_2026.csv,7.0,Inter Miami,1994-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernández,MF,25,,,,,,,,,argentina_world_cup_roster_2026.csv,24.0,Chelsea,2001-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás González,FW,28,,,,,,,,,argentina_world_cup_roster_2026.csv,15.0,Atlético Madrid,1998-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,FW,30,,,,,,,,,argentina_world_cup_roster_2026.csv,11.0,Real Betis,1996-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaco López,FW,25,,,,,,,,,argentina_world_cup_roster_2026.csv,21.0,Palmeiras,2000-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,MF,27,,,,,,,,,argentina_world_cup_roster_2026.csv,20.0,Liverpool,1998-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,GK,33,,,,,,,,,argentina_world_cup_roster_2026.csv,23.0,Aston Villa,1992-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lautaro Martínez,FW,28,,,,,,,,,argentina_world_cup_roster_2026.csv,22.0,Inter,1997-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisandro Martínez,DF,28,,,,,,,,,argentina_world_cup_roster_2026.csv,6.0,Manchester Utd,1998-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Medina,DF,27,,,,,,,,,argentina_world_cup_roster_2026.csv,25.0,Marseille,1999-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,FW,38,,,,,,,,,argentina_world_cup_roster_2026.csv,10.0,Inter Miami,1987-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Molina,DF,28,,,,,,,,,argentina_world_cup_roster_2026.csv,26.0,Atlético Madrid,1998-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,DF,29,,,,,,,,,argentina_world_cup_roster_2026.csv,4.0,River Plate,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Musso,GK,32,,,,,,,,,argentina_world_cup_roster_2026.csv,1.0,Atlético Madrid,1994-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Otamendi,DF,38,,,,,,,,,argentina_world_cup_roster_2026.csv,19.0,Benfica,1988-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exequiel Palacios,DF,27,,,,,,,,,argentina_world_cup_roster_2026.csv,14.0,Leverkusen,1998-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Paredes,MF,31,,,,,,,,,argentina_world_cup_roster_2026.csv,5.0,Boca Juniors,1994-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Paz,MF,21,,,,,,,,,argentina_world_cup_roster_2026.csv,18.0,Como,2004-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,DF,28,,,,,,,,,argentina_world_cup_roster_2026.csv,13.0,Tottenham Hotspur,1998-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerónimo Rulli,GK,34,,,,,,,,,argentina_world_cup_roster_2026.csv,12.0,Marseille,1992-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuliano Simeone,FW,23,,,,,,,,,argentina_world_cup_roster_2026.csv,17.0,Atlético Madrid,2002-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Tagliafico,DF,33,,,,,,,,,argentina_world_cup_roster_2026.csv,3.0,Lyon,1992-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,1.0,33.749,-84.388,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,2.0,42.0654,-71.2661,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,3.0,32.7473,-97.0945,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,4.0,29.6847,-95.4082,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,5.0,39.0489,-94.4839,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,6.0,33.9534,-118.3392,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,7.0,25.958,-80.2389,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
